id_tableau,titre_tableau,source,categorie,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
9.19,Nombre de bâteaux de pêche par type de pêche,MINAGRI,Pêche artisanale,457,705,705,705,705,732,732,732,1639,1639,1639,11657
9.19,Nombre de bâteaux de pêche par type de pêche,MINAGRI,Pêche coutumière,750,739,739,739,1513,1513,1513,1513,2188,2188,2188,3654
