id_tableau,titre_tableau,source,province,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018
7.04,Répartition des Effectifs des Élèves du Fondamental par Province,Bureau de la Planification et des Statistiques de l'Education,Bubanza,70 704,75 725,79 579,82 842,90 355,96 995,107 728,113 306,116 394
7.04,Répartition des Effectifs des Élèves du Fondamental par Province,Bureau de la Planification et des Statistiques de l'Education,Cibitoke,103 483,104 338,113 208,116 098,122 737,132 386,140 129,143 354,150 326
7.04,Répartition des Effectifs des Élèves du Fondamental par Province,Bureau de la Planification et des Statistiques de l'Education,Bujumbura-Mairie,60 382,76 396,86 209,85 961,89 922,124 522,133 994,132 474,141 256
7.04,Répartition des Effectifs des Élèves du Fondamental par Province,Bureau de la Planification et des Statistiques de l'Education,Bururi,160 954,167 799,169 806,169 926,183 097,192 027,94 345,94 889,92 505
7.04,Répartition des Effectifs des Élèves du Fondamental par Province,Bureau de la Planification et des Statistiques de l'Education,Makamba,121 092,124 184,131 057,136 986,152 192,156 847,156 501,160 271,154 050
7.04,Répartition des Effectifs des Élèves du Fondamental par Province,Bureau de la Planification et des Statistiques de l'Education,Gitega,168 573,173 361,174 078,172 156,179 029,186 466,199 608,203 662,211 604
7.04,Répartition des Effectifs des Élèves du Fondamental par Province,Bureau de la Planification et des Statistiques de l'Education,Karuzi,102 066,101 212,93 412,95 484,101 413,101 949,110 541,114 184,114 458
7.04,Répartition des Effectifs des Élèves du Fondamental par Province,Bureau de la Planification et des Statistiques de l'Education,Muramvya,77 783,78 644,79 941,81 878,151 905,88 924,96 166,97 262,98 566
7.04,Répartition des Effectifs des Élèves du Fondamental par Province,Bureau de la Planification et des Statistiques de l'Education,Muyinga,127 155,137 105,138 606,143 010,152 192,155 668,153 749,154 947,158 185
7.04,Répartition des Effectifs des Élèves du Fondamental par Province,Bureau de la Planification et des Statistiques de l'Education,Kirundo,141 882,147 741,147 562,147 293,146 592,150 257,155 907,162 133,164 382
