id_tableau,titre_tableau,source,categorie,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
3.15,Evolution mensuelle des précipitations par station météorologique de Nyamuswaga (en mm),IGEBU,Janvier,"52,6","123,1","195,6","152,6","282,7","122,9","123,4","249,8","68,7","79,9","124,6","132,1","140,2"
3.15,Evolution mensuelle des précipitations par station météorologique de Nyamuswaga (en mm),IGEBU,Février,"93,3","131,4","172,6","195,4",216,"117,6","118,7","113,7","242,7",121,"130,5","126,6",-
3.15,Evolution mensuelle des précipitations par station météorologique de Nyamuswaga (en mm),IGEBU,Mars,"162,4","68,1","203,8",48,"179,6","178,9","102,7","211,6",128,"180,5","155,8","242,2",-
3.15,Evolution mensuelle des précipitations par station météorologique de Nyamuswaga (en mm),IGEBU,Avril,"314,6","118,1",130,"191,5","139,8","217,7","245,6","197,4","241,8","240,9",174,"135,1","271,5"
3.15,Evolution mensuelle des précipitations par station météorologique de Nyamuswaga (en mm),IGEBU,Mai,"172,3","72,8","92,7","135,4","96,9","124,9","92,7","30,2","12,5","121,1","23,2","81,1",85
3.15,Evolution mensuelle des précipitations par station météorologique de Nyamuswaga (en mm),IGEBU,Juin,0,"23,4","32,6","6,5","2,8",53,"21,3",0,"39,7","48,8",0,0,-
3.15,Evolution mensuelle des précipitations par station météorologique de Nyamuswaga (en mm),IGEBU,Juillet,0,"22,9",0,0,0,"73,5",7,0,"1,7",0,0,0,"12,8"
3.15,Evolution mensuelle des précipitations par station météorologique de Nyamuswaga (en mm),IGEBU,Août,"28,8","21,3","16,6","18,5",0,7,"13,6",0,0,0,"0,6","17,2",66
3.15,Evolution mensuelle des précipitations par station météorologique de Nyamuswaga (en mm),IGEBU,Septembre,"49,5","63,3","107,3","40,5","41,7","124,2","66,1","53,2","102,9","96,3","16,6","82,9","81,2"
3.15,Evolution mensuelle des précipitations par station météorologique de Nyamuswaga (en mm),IGEBU,Octobre,102,"190,5","184,7","105,9","79,1","169,2","161,3","109,5","116,6","246,2","162,9","186,8","152,5"
3.15,Evolution mensuelle des précipitations par station météorologique de Nyamuswaga (en mm),IGEBU,Novembre,"240,9","156,9","102,8",-,750,"260,5","216,85","171,75","95,4","248,1","166,2",123,"130,5"
3.15,Evolution mensuelle des précipitations par station météorologique de Nyamuswaga (en mm),IGEBU,Décembre,"99,5","58,6","154,4","131,4","148,7","212,2","290,8","264,6","127,1","171,7","100,7","150,3","159,7"
3.15,Evolution mensuelle des précipitations par station météorologique de Nyamuswaga (en mm),IGEBU,Moyenne annuelle,"109,6","90,2","116,1","93,2","105,2","138,5","121,7","116,8","98,1","134,0","87,9","106,4","122,2"
