id_tableau,titre_tableau,source,categorie,sous-categorie,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,Cptve Twiyunge,"","","","","","",13,91,13,176,150
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,Cptve Rumuri Murimirwa,"","","","","","",26,63,23,73,188
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,SACOBU,"","","","","",789,3427,3349,4200,4744,6403
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,IBUCO,"","","","","",374,275,165,"",0,""
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,SOLADECOC,"","","","","",7017,"","","",0,""
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,SODELACA,"","","","","",9,122,458,2200,2200,4036
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,CAFEX,"","","","","",46,91,36,43,36,53
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,MUNKAZE COFFEE INSTITU,"","","","","",50,147,106,"",0,""
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,BUGESTAL,"","","","","","",8000,10795,9971,4382,6960
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,Munyinya Coffee Burundi,"","","","","","",346,748,736,934,1151
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,SCERT,"","","","","","",174,122,49,119,389
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,Kayokwe Coffee Solutions,"","","","","","",185,107,102,195,180
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,SEGEC,"","","",321,1117,564,200,592,497,0,""
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,WEBCOR,"","","",1267,551,1364,4522,10090,"",0,""
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,KPC,"","","",2636,"","","","",322,0,""
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,BUJA 15+,"","","","","","","","",293,389,832
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,Cptive Dusubize iteka igiterwa,"","","","","","","","",230,399,381
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,Cptive Kundudutezimbere,"","","","","","","","",60,210,375
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,Coop Duharanirikawa,"","","","","","","","",134,195,233
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,Coop Dusangirumugambi,"","","","","","","","",127,452,797
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,Kawa vumera,"","","","","","","","",204,498,183
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,Kawa zamurabawe,"","","","","","","","",126,210,324
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,Ryohorikawa,"","","","","","","","",25,165,466
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,Twaramyuzwe,"","","","","","","","",39,274,53
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,GREENCO,"","","","","","","","",10337,6068,10645
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,Twubakane,"","","","","","","","",171,369,333
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,Umuco w' ikawa,"","","","","","","","",221,438,367
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,Cptive Korerikawa,"","","","","","","","",33,352,352
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,COOP Tuvugirikawa,"","","","","","","","",116,574,1129
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,SOLAC,"","","","","","","","",0,247,155
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,ICOSQUA,"","","","","","","","",303,362,1217
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,Cptive Dutezimbere igitegwa,"","","","","","","","",287,881,1214
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,Coop nzoyiyaga,"","","","","","","","",95,209,336
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,Coop ikawa yacu,"","","","","","","","",69,149,177
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,Coop ibukikawa,"","","","","","","","",57,82,178
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,Matsitsi TRADING COFFEE,"","","","","","","","",318,445,1436
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,COOP TERINTAMBWE MURI,"","","","","","","","",80,150,100
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,Coop Kerebuka murimyi w' ika,"","","","","","","","",69,231,137
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,ATLAS ENERGY,"","","","","","","","","",169,957
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,AGAHORE COFFEE,"","","","","","","","","",64,139
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,Cptive Kawa Munezero Yacu,"","","","","","","","","",87,159
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,Cptive JIGEBUCO,"","","","","","","","","",166,550
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,Nyabitwe coffee,"","","","","","","","","",60,171
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,SOCOCAS,"","","","","","","","","",590,607
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,Coop Kerebuka murimyi w' ikawa,"","","","","","","","","",171,247
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,Coop babiri baruta umwe,"","","","","","","","","",52,214
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,Coop niziwacu,"","","","","","","","","",205,245
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,Total,"",100442,20516,86793,40796,80693,69789,87885,82502,80908,139490
