id_tableau,titre_tableau,source,produit,code HS,2013,2014,2015,2016,2017
13.03,Principaux produits importés ( valeur en millions de FBU),ISTEEBU,"Huiles de pétrole ou de minéraux bitumineux, autres que les huiles brutes",2710,213790,237005,175071,173091,218455
13.03,Principaux produits importés ( valeur en millions de FBU),ISTEEBU,Médicaments,3004,63542,68959,52432,74248,85202
13.03,Principaux produits importés ( valeur en millions de FBU),ISTEEBU,"Préparations chimiques contraceptives à base d'hormones, d'autres 
produits du 2937,...",3006,"",3174,5,"",""
13.03,Principaux produits importés ( valeur en millions de FBU),ISTEEBU,"Engrais minéraux ou chimiques contenant deux ou trois des éléments 
fertilisants",3105,25180,20128,10329,28546,44238
13.03,Principaux produits importés ( valeur en millions de FBU),ISTEEBU,"Voitures de tourisme et autres véhicules automobiles principalement conçus 
pour le transport de personnes",8703,33906,41037,10025,33109,48783
13.03,Principaux produits importés ( valeur en millions de FBU),ISTEEBU,Froment (blé) et méteil.,1001,19965,29684,9615,28463,35810
13.03,Principaux produits importés ( valeur en millions de FBU),ISTEEBU,Véhicules automobiles pour le transport de marchandises.,8704,23577,31765,467,14038,23000
13.03,Principaux produits importés ( valeur en millions de FBU),ISTEEBU,Appareils électriques pour la téléphonie ou la télégraphie par fil,8517,27315,15903,43451,18196,16283
13.03,Principaux produits importés ( valeur en millions de FBU),ISTEEBU,"Produits laminés plats, en fer ou en aciers non alliés, d'une largeur de 600 
mm ou plus, plaqués ou revêtus.",7210,8232,12647,6355,19804,31011
13.03,Principaux produits importés ( valeur en millions de FBU),ISTEEBU,"Ciments hydrauliques (y compris les ciments non pulvérisés dits « clinkers 
»), même colorés.",2523,30308,28163,16140,22491,22949
