id_tableau,titre_tableau,source,categorie,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
3.01,Indicateurs environnementaux,ISTEEBU (Rapport sur les indicateurs du développement humain durable),Territoire national (en km2),27 834,27 834,27 834,27 834,27 834,27 834,27 834,27 834,27 834,27 834,27 834,27 834,27 834
3.01,Indicateurs environnementaux,ISTEEBU (Rapport sur les indicateurs du développement humain durable),Marais (en ha),120 000,117 993,117 993,117 993,117 993,117 993,117 993,117 993,117 993,117 993,117 993,117 993,117 993
3.01,Indicateurs environnementaux,ISTEEBU (Rapport sur les indicateurs du développement humain durable),Parc et réserves naturelles (en ha),101 600,101600,101 600,101 600,101 600,101 600,101 600,101 600,101 600,101 600,101 600,101 600,101 600
3.01,Indicateurs environnementaux,ISTEEBU (Rapport sur les indicateurs du développement humain durable),Terres irriguées (en ha),20 000,55 877,55 877,55 877,55 877,55 877,55 877,55 877,55 877,55 877,55 877,55 877,55 877
3.01,Indicateurs environnementaux,ISTEEBU (Rapport sur les indicateurs du développement humain durable),Forêts en% de la superficie totale,"6,30","6,00","6,00","6,00","6,00","6,00","6,00","6,00","6,00","6,00","6,00","6,00","6,00"
3.01,Indicateurs environnementaux,ISTEEBU (Rapport sur les indicateurs du développement humain durable),Déboisements (en ha),6 400,30 000,-,-,-,-,-,-,-,-,-,-,-
3.01,Indicateurs environnementaux,ISTEEBU (Rapport sur les indicateurs du développement humain durable),Boisements (en ha),169 000,161 000,161 000,161 000,161 000,161 000,161 000,161 000,161 000,161 000,161 000,161 000,161 000
3.01,Indicateurs environnementaux,ISTEEBU (Rapport sur les indicateurs du développement humain durable),Terres rocheuses en % du total,"1,0","1,0",1,1,1,1,1,1,1,1,1,1,1
3.01,Indicateurs environnementaux,ISTEEBU (Rapport sur les indicateurs du développement humain durable),Eaux territoriales en % de la superficie tota,"10,04","10,04","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00","10,00"
3.01,Indicateurs environnementaux,ISTEEBU (Rapport sur les indicateurs du développement humain durable),Superficie des cultures vivrières (en 1000 h,1 134,1 134,1 134,1 134,1 134,1 134,1 134,1 134,1 134,1 134,1 134,1 134,1 134
3.01,Indicateurs environnementaux,ISTEEBU (Rapport sur les indicateurs du développement humain durable),Pâturages (en ha),482 947,482 947,482 947,482 947,482 947,482 947,482 947,482 947,482 947,482 947,482 947,482 947,482 947
