id_tableau,titre_tableau,source,journal,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
10.20,Evolution des tirages de la presse écrite, Conseil National de la Communication.,Renouveau, 260 000,299 000,299 000,299 000,312 000,312 000,312 000,-,314 400,313 200,316 800
10.20,Evolution des tirages de la presse écrite, Conseil National de la Communication.,Ubumwe, 10 400,10 400,28 800,28 800,130 000,130 000,130 000,130 000,130 000,130 000,130 000
