id_tableau,titre_tableau,source,categorie,sous_categorie,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
3.23,Répartition des superficies des aires protégées,INECN/ OBPE,Forêts,"",57 916,57 916,57 916,57 916,57 916,57 916,57 916,57 916,57 916,57 916,57 916,57 916,57 916
3.23,Répartition des superficies des aires protégées,INECN/ OBPE,dont forêts ombrophile de montagne,"",47 500,47 500,47 500,47 500,47 500,47 500,47 500,47 500,47 500,47 500,47 500,47 500,47 500
3.23,Répartition des superficies des aires protégées,INECN/ OBPE,dont forêts ombrophile de montagne,       forêts sclérophylles à Hyphaene,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200,1 200
3.23,Répartition des superficies des aires protégées,INECN/ OBPE,dont forêts ombrophile de montagne,       forêts mésophylle de Kigwena,500,500,500,500,500,500,500,500,500,500,500,500,500
3.23,Répartition des superficies des aires protégées,INECN/ OBPE,dont forêts ombrophile de montagne,       forêts claires,8 716,8 716,8 716,8 716,8 716,8 716,8 716,8 716,8 716,8 716,8 716,8 716,8 716
3.23,Répartition des superficies des aires protégées,INECN/ OBPE,dont forêts ombrophile de montagne,       galeries forestières,-,-,-,-,-,-,-,-,"",-,-,-,-
3.23,Répartition des superficies des aires protégées,INECN/ OBPE,Marais,"",3 799,3 799,3 799,3 799,3 799,3 799,3 799,3 799,3 799,3 799,3 799,3 799,3 799
3.23,Répartition des superficies des aires protégées,INECN/ OBPE,Savanes,"",50 900,50 900,50 900,50 900,50 900,50 900,50 900,50 900,50 900,50 900,50 900,50 900,50 900
3.23,Répartition des superficies des aires protégées,INECN/ OBPE,Milieux aquatiques,"",600,600,600,600,600,600,600,600,600,600,600,600,600
