id_tableau,titre_tableau,source,categorie,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
9.14,Production de la pêche (en tonnes),Département de la Pêche et Pisciculture,Pêche artisanale,10388,16222,14077,16716,11359,13578,12458,14794,18198,20245,17767,19056
9.14,Production de la pêche (en tonnes),Département de la Pêche et Pisciculture,Pêche coutumière,930,1462,800,775,709,865,774,1258,2080,1560,1745,7227
