id_tableau,titre_tableau,source,Désignations,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
11.22,Importations des produits pétroliers (en milliers de litres), SEP et BRB,Essence auto,26 543,31 262,32 792,38 426,48 811,46 994,51 179,104 193,50 917,85 449,96 798
11.22,Importations des produits pétroliers (en milliers de litres), SEP et BRB,Gasoil et Fuel oil ( 2018),33 529,31 473,31 032,36 124,34 721,-,-,-,45 711,100 409,109 530
11.22,Importations des produits pétroliers (en milliers de litres), SEP et BRB,Fuel oil,1477,2112,49847,65299,49281,57 648,65 546,116 114,6 259,-,-
11.22,Importations des produits pétroliers (en milliers de litres), SEP et BRB,Pétrole lampant,1 628,1 767,3 371,5 817,2 278,2 533,1 258,969,297,318,41
11.22,Importations des produits pétroliers (en milliers de litres), SEP et BRB,J.P.1.,6734,7388,5 511,6 095,4 646,"","","",7 559,-,-
11.22,Importations des produits pétroliers (en milliers de litres), SEP et BRB,Essence avion,5 988,16 832,4576,3309,9548,7 785,3 993,5421,-,4786,4901
11.22,Importations des produits pétroliers (en milliers de litres), SEP et BRB,huiles et graisses,"","","",2663,2541,11 610,2 642,2 521,-,3 702,3 718
11.22,Importations des produits pétroliers (en milliers de litres), SEP et BRB,Dechets d'huiles,"","","",4912,2762,4 965,7 134,14 899,-,7 868,4 562
11.22,Importations des produits pétroliers (en milliers de litres), SEP et BRB,"Asphaltes, bitumes","","","",9656,2491,2 979,3 231,4 930,-,2 916,-
