id_tableau,titre_tableau,source,rubriques,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018-2019
15.04,Evolution des Dons (en millions de FBU), B.R.B/Rapports annuels,Dons,137 502,63 881,132 839,204 363,154 950,274 662,213 829,142 509,-,138 513,372 251
15.04,Evolution des Dons (en millions de FBU), B.R.B/Rapports annuels,Dons Courants,117 085,45 884,67 474,121 144,74 685,118 850,46 942,52 536,-,-,-
15.04,Evolution des Dons (en millions de FBU), B.R.B/Rapports annuels,Dons en capital,20 417,17 997,65 365,83 218,80 265,155 813,166 886,89 974,119 018,138 513,372 251
