id_tableau,titre_tableau,source,categorie,sous-categorie,sous-sous-sous categorie,2011,2012,2013,2014,2015,2016,2017,2018
13.17,Importations des services et revenus primaires (en million de francs burundais).,BRB,Transports,"","","160408,5","181791,0","239815,4","","219848,2","204546,4","253474,2","286291,2"
13.17,Importations des services et revenus primaires (en million de francs burundais).,BRB,Transports,maritime,"","28049,7","32005,6","42235,1","","39801,1","34707,6","48466,7","50680,5"
13.17,Importations des services et revenus primaires (en million de francs burundais).,BRB,Transports,aérien,"","42871,7","46663,4","61956,0","","54697,4","55826,1","48730,7","69480,4"
13.17,Importations des services et revenus primaires (en million de francs burundais).,BRB,Transports,autres,"","89487,1","103122,0","135624,3","","125349,7","112715,6","154744,3","164444,0"
13.17,Importations des services et revenus primaires (en million de francs burundais).,BRB,Services postaux et de messagerie,"","","","","","","","1297,1","1532,5","1686,3"
13.17,Importations des services et revenus primaires (en million de francs burundais).,BRB,Voyages,"","","39327,6","35759,2","53631,0","","46131,6","45817,2","41448,9","40622,8"
13.17,Importations des services et revenus primaires (en million de francs burundais).,BRB,Voyages,professionnels,"","20608,8","17039,2","33654,0","","11714,4","17414,9","20048,6","22424,8"
13.17,Importations des services et revenus primaires (en million de francs burundais).,BRB,Voyages,personnels,"","18718,8","18720,0","19977,0","","34417,2","28402,3","21400,3","18198,0"
13.17,Importations des services et revenus primaires (en million de francs burundais).,BRB,Voyages,personnels,soins de santé,"1109,5","1207,0","1248,8","","3842,5","3280,6","1370,6","1363,7"
13.17,Importations des services et revenus primaires (en million de francs burundais).,BRB,Voyages,personnels,éducation,"17609,3","17513,0","18728,2","","18056,7","18283,2","17267,8","14896,1"
