id_tableau,titre_tableau,source,catégorie,sous-catégorie,2012,2013,2014,2015,2016,2017,2018
13.01,Evolution du commerce extérieur,"de 2006 à 2012 (BRB), de 2013 à 2016 (ISTEEBU)",Importations,Quantité (tonnes),705348,476304,520680,356012,368337,822513,976697
13.01,Evolution du commerce extérieur,"de 2006 à 2012 (BRB), de 2013 à 2016 (ISTEEBU)",Importations,Valeur (MFBU),1084054,1166233,1212171,885413,1039585,1307188,1414687
13.01,Evolution du commerce extérieur,"de 2006 à 2012 (BRB), de 2013 à 2016 (ISTEEBU)",Exportations,Quantité (tonnes),53300,40592,78718,79127,81005,92599,103222
13.01,Evolution du commerce extérieur,"de 2006 à 2012 (BRB), de 2013 à 2016 (ISTEEBU)",Exportations,Valeur (MFBU),194304,305251,219012,178939,219155,258526,321283
