id_tableau,titre_tableau,source,categorie,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
3.07,Evolution mensuelle des précipitations par station météorologique de Bururi - Vyanda (en mm),IGEBU,Janvier,"120,5","309,1","284,8","211,9","203,1","167,3","198,5","194,7","269,3","212,7","347,8","197,6","302,9"
3.07,Evolution mensuelle des précipitations par station météorologique de Bururi - Vyanda (en mm),IGEBU,Février,"198,5","206,9","259,9","182,3","149,9","178,9","82,6","105,4","175,9","168,9","202,8","116,4",159
3.07,Evolution mensuelle des précipitations par station météorologique de Bururi - Vyanda (en mm),IGEBU,Mars,"198,8",220,"279,9","91,1","207,3","195,8","191,3","196,9","183,6","283,7","177,9","233,3","183,7"
3.07,Evolution mensuelle des précipitations par station météorologique de Bururi - Vyanda (en mm),IGEBU,Avril,"259,3","119,2","160,2","234,2",92,"182,1","230,1","208,7","96,1","339,1","193,7","138,9",-
3.07,Evolution mensuelle des précipitations par station météorologique de Bururi - Vyanda (en mm),IGEBU,Mai,"169,4","76,5","27,8","141,6","82,2",85,"81,7","53,2","6,4","31,6",20,"56,2",-
3.07,Evolution mensuelle des précipitations par station météorologique de Bururi - Vyanda (en mm),IGEBU,Juin,"1,2","35,4","68,6","15,2","7,8","13,5","12,3",0,"31,6","1,3","17,9",0,-
3.07,Evolution mensuelle des précipitations par station météorologique de Bururi - Vyanda (en mm),IGEBU,Juillet,0,0,"4,5",0,0,"2,2",0,0,0,0,0,"1,2","0,5"
3.07,Evolution mensuelle des précipitations par station météorologique de Bururi - Vyanda (en mm),IGEBU,Août,"19,5","10,5","5,5",0,0,0,"43,9",0,"7,2",0,0,"33,7","11,6"
3.07,Evolution mensuelle des précipitations par station météorologique de Bururi - Vyanda (en mm),IGEBU,Septembre,"33,5","12,8","29,6","24,6","42,4","58,2","48,1","50,8",54,"16,3","17,8","30,8","25,4"
3.07,Evolution mensuelle des précipitations par station météorologique de Bururi - Vyanda (en mm),IGEBU,Octobre,"83,4","81,9","120,3","80,6","98,1","103,2","123,1","200,8","148,2","215,6","58,4","55,4","30,2"
