id_tableau,titre_tableau,source,provinces,communes,2016,2017
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Kayanza,Kabarore,410605,359754
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Kayanza,Kayanza,-,488071
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Kayanza,Matongo,245941,513482
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Kayanza,Muhanga,294938,353373
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Kayanza,Rango,260474,302434
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Kayanza,Muruta,76824,346032
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Kirundo,Bugabira,186923,405614
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Kirundo,Busoni,242664,774063
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Kirundo,Bwambarangwe,176137,586182
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Kirundo,Gitobe,112030,110416
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Kirundo,Kirundo,187650,544719
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Kirundo,Ntega,142256,469135
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Kirundo,Vumbi,211543,68364
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Makamba,Kayogoro,14919,240088
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Makamba,Kibago,202030,506909
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Makamba,Mabanda,185907,474660
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Makamba,Makamba,-,96924
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Makamba,Nyanza-Lac,225658,481059
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Makamba,Vugizo,122656,481345
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Muramvya,Bukeye,185384,454608
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Muramvya,Kiganda,132010,-
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Muramvya,Mbuye,160633,415858
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Muramvya,Muramvya,409200,719047
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Muramvya,Rutegama,344334,496686
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Mwaro,Bisoro,42349,431726
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Mwaro,Gisozi,3937,526343
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Mwaro,Kayokwe,277884,374621
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Mwaro,Ndava,184751,287510
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Mwaro,Nyabihanga,240185,363087
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Mwaro,Rusaka,7309,254294
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Muyinga,Buhinyuza,183594,539781
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Muyinga,Butihinda,434675,509064
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Muyinga,Gashoho,205467,451093
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Muyinga,Gasorwe,143919,495277
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Muyinga,Giteranyi,241183,451903
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Muyinga,Muyinga,175502,491654
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Muyinga,Mwakiro,185977,407312
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Ngozi,Busiga,162433,439801
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Ngozi,Gashikanwa,195604,379181
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Ngozi,Kiremba,302321,116035
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Ngozi,Marangara,-,422555
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Ngozi,Mwumba,68652,497532
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Ngozi,Ngozi,166335,646795
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Ngozi,Nyamurenza,-,353695
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Ngozi,Ruhororo,108334,425203
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Ngozi,Tangara,87228,391228
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Rumonge,Bugarama,72340,267771
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Rumonge,Burambi,292656,504685
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Rumonge,Buyengero,89922,284177
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Rumonge,Muhuta,278763,319957
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Rumonge,Rumonge,440228,582941
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Rutana,Bukemba,230011,734257
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Rutana,Giharo,407802,531625
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Rutana,Gitanga,231491,338029
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Rutana,Mpinga,87796,541639
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Rutana,Musongati,67594,551122
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Rutana,Rutana,-,738047
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Ruyigi,Butaganzwa,38447,213875
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Ruyigi,Butezi,177324,668359
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Ruyigi,Bweru,390002,192586
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Ruyigi,Gisuru,236304,428368
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Ruyigi,Kinyinya,223654,437076
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Ruyigi,Nyabitsinda,348574,315096
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Ruyigi,Ruyigi,417099,475633
