id_tableau,titre_tableau,source,catégorie,code HS4,2013,2014,2015,2016,2017,2018
13.12,Evolution des Exportations par produits en valeur (en millions de FBU),ISTEEBU,Poissons vivants,0301,263,264,279,134,"",""
13.12,Evolution des Exportations par produits en valeur (en millions de FBU),ISTEEBU,"Poissons seches, sales ou en saumure; poissons fumes, meme cuits avant 
ou pendant le fum",0305,265,210,"","","",""
13.12,Evolution des Exportations par produits en valeur (en millions de FBU),ISTEEBU,"Ivoire, ecaille de tortue, fanons (y compris les barbes) de baleine ou 
d'autres mammifer",0507,"","","","",1569,""
13.12,Evolution des Exportations par produits en valeur (en millions de FBU),ISTEEBU,"Autres plantes vivantes (y compris leurs racines), boutures et greffons; 
blanc de champi",0602,"","","","",337,""
13.12,Evolution des Exportations par produits en valeur (en millions de FBU),ISTEEBU,"Tomates, a l'etat frais ou refrigere",0702,117,335,168,"","",""
13.12,Evolution des Exportations par produits en valeur (en millions de FBU),ISTEEBU,"Autres legumes, a l'etat frais ou refrigere",0709,179,262,159,"","",""
13.12,Evolution des Exportations par produits en valeur (en millions de FBU),ISTEEBU,"Legumes a cosse secs, ecosses, meme decortiques ou casses",0713,"","","","",1541,""
13.12,Evolution des Exportations par produits en valeur (en millions de FBU),ISTEEBU,"Bananes, y compris les plantains, fraiches ou seches",0803,"","","",150,1418,220
13.12,Evolution des Exportations par produits en valeur (en millions de FBU),ISTEEBU,"Dattes, figues, ananas, avocats, goyaves, mangues et mangoustans, frais 
ou secs",0804,"","","",279,2556,688
13.12,Evolution des Exportations par produits en valeur (en millions de FBU),ISTEEBU,"Agrumes, frais ou secs",0805,"","",169,"",127,""
