id_tableau,titre_tableau,source,Désignations,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
5.19,Participation des femmes à l' Assemblée Nationale,Assemblée Nationale.,Parlementaires,118,106,106,106,106,106,121,118,118,118
5.19,Participation des femmes à l' Assemblée Nationale,Assemblée Nationale.,dont femmes,37,32,32,33,33,33,44,43,43,43
5.19,Participation des femmes à l' Assemblée Nationale,Assemblée Nationale.,hommes,81,74,74,73,73,73,77,75,75,75
