id_tableau,titre_tableau,source,Désignations,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
11.23,Evolution des importations des bitumes et lubrifiants (en tonnes), BRB,Bitumes,-,-,-,9 656,2 491,2 979,3 231,4 930,-,-,3 346
11.23,Evolution des importations des bitumes et lubrifiants (en tonnes), BRB,Lubrifiants,287,-,-,-,-,-,-,-,-,-,-
