id_tableau,titre_tableau,source,provinces,communes,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Bubanza,Bubanza,40474,45815,49666,79166,68960,67957,121193,76279,107678,136148
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Bubanza,Gihanga,81482,66669,86128,121733,86423,153838,153349,134136,165616,274387
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Bubanza,Mpanda,47019,63239,63671,112414,127337,136703,235632,144411,181177,208652
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Bubanza,Musigati,37194,46480,43839,58131,75717,85848,91699,59116,82601,111470
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Bubanza,Rugazi,44140,35134,53347,66631,82322,126973,282046,104209,191473,228626
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Bujumbura Mairie,Bujumbura Mairie,-,3131817,4163034,3822454,3711867,"",9670750,5391804,6817298,10507183
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Bujumbura Rural,Bugarama,"",24174,23089,32739,34622,54710,74323,"","",""
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Bujumbura Rural,Isale,-,16146,78720,138490,191835,272501,64730,68704,117739,150440
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Bujumbura Rural,Kabezi,45649,49770,47265,60410,103089,165599,223556,-,82012,161729
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Bujumbura Rural,Kanyosha,43108,48259,56098,55741,86644,89089,99108,71513,91204,130383
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Bujumbura Rural,Mubimbi,36443,20221,25342,30945,42113,48973,134311,36699,66299,111861
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Bujumbura Rural,Mungongomanga,48792,44069,39605,32448,85723,212216,94877,59882,71743,107114
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Bujumbura Rural,Muhuta,"",59273,-,72166,46975,228067,213194,"","",""
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Bujumbura Rural,Mukike,-,12958,15078,25351,10645,59119,154760,28224,33810,55148
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Bujumbura Rural,Mutambu,-,18916,23044,43691,46975,71709,55114,52217,70937,109849
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Bujumbura Rural,Mutimbuzi,88166,98166,116103,188509,286421,307094,269547,109732,329599,210844
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Bujumbura Rural,Nyabiraba,-,-,31213,36758,50742,64168,64707,39844,69985,87409
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Bururi,Burambi,"",11891,11891,11891,11891,11891,89621,"","",""
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Bururi,Bururi,68413,68586,68586,68586,68586,68586,114724,22770,104336,120592
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Bururi,Buyengero,"",34992,34992,34992,34992,34992,323859,"","",""
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Bururi,Matana,62699,67590,67590,67590,67590,67590,361775,162089,92963,156728
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Bururi,Mugamba,40942,63618,63618,63618,63618,63618,219409,187674,99290,115519
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Bururi,Rumonge,"",176035,201791,201716,220190,243558,90000,"","",""
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Bururi,Rutovu,20746,20561,20561,20561,20561,20561,83665,43512,46027,56218
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Bururi,Songa,28906,24902,24902,24902,24902,24902,40043,234052,45317,51610
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Bururi,Vyanda,10805,13601,13601,13601,13601,13601,298430,28850,17825,32273
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Cankuzo,Cankuzo,47377,48535,44722,53941,217767,415509,71793,63069,77946,132561
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Cankuzo,Cendajuru,33209,36428,31573,38950,39593,48281,36236,35248,55696,69843
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Cankuzo,Gisagara,28133,35339,36628,37921,34275,34534,34726,38653,74451,125601
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Cankuzo,Kigamba,30647,28165,29171,33547,34610,35631,32567,20590,52702,65446
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Cankuzo,Mishiha,34956,45069,52345,55948,64787,98362,77323,60718,103986,136109
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Cibitoke,Buganda,60579,44598,47607,79934,133181,170590,962440,65330,90595,154521
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Cibitoke,Bukinanyana,82296,7604,50841,104815,69459,96690,673183,68129,108345,151635
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Cibitoke,Mabayi,42665,54935,56427,103348,125904,81445,965498,60461,91389,98317
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Cibitoke,Mugina,113117,123244,125569,137041,143533,124854,725856,111148,192176,205253
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Cibitoke,Murwi,56008,40751,56124,73123,90708,337097,309894,75799,101093,106226
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Cibitoke,Rugombo,60959,43280,-,95956,114072,100064,696296,73930,125714,145995
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Gitega,Bugendana,40143,37490,34373,42616,131229,119400,234750,84397,99721,169817
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Gitega,Bukirasazi,26872,14966,28632,32506,41028,44572,380382,54156,67736,97161
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Gitega,Buraza,-,23104,22034,33250,48640,82249,377524,45280,63955,75167
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Gitega,Giheta,33940,35871,37668,55844,114707,171208,483180,77858,74898,142891
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Gitega,Gishubi,38720,46521,40001,72037,50657,81669,472732,60155,77731,97297
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Gitega,Gitega,293499,270461,293890,217432,841287,555002,948949,628571,791441,1015284
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Gitega,Itaba,40595,43512,39175,51316,93232,155587,206335,99571,159030,209014
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Gitega,Makebuko,22161,33302,27769,35943,39456,75553,142101,55170,69269,86259
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Gitega,Mutaho,32789,59623,60159,62739,100825,65423,422018,77394,159016,185677
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Gitega,Ryansoro,-,-,6525,9607,10289,6097,5011,-,39638.3,41562.2
