id_tableau,titre_tableau,source,province,commune,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
10.11,Répartition des bureaux postaux par provinces, Régie,Gitega,"",1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Gitega,Itaba,"","","","","",1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Gitega,Makebuko (t),"","","","","",1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Gitega,Mutaho,1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Gitega,Nyarusange,"","","","",1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Gitega,Ryansoro,"","","","",1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Gitega,Muramvya,5,5,5,6,7,8,8,8,8,8,8
10.11,Répartition des bureaux postaux par provinces, Régie,Gitega,Bugarama,1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Gitega,Bukeye,1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Gitega,Gatabo,"","","",1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Gitega,Kiganda,1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Gitega,Mbuye,"","","","",1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Muramvya,"",1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Muramvya,Rutegama,1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Muramvya,Shombo,"","","","","",1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Muramvya,Mwaro,2,2,2,2,4,6,6,6,6,6,6
10.11,Répartition des bureaux postaux par provinces, Régie,Muramvya,Bisoro,1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Muramvya,Gisozi,"","","","","",1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Muramvya,Kayokwe,"","","","","",1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Muramvya,Ndava,1,1,1,1,1,1,1,1,1,1,1
