id_tableau,titre_tableau,source,Désignation (en millier),2012,2013,2014,2015,2016,2017,2018
5.14B,Evolution des montants annuels des dépenses à l'ONPR, Office National des Pensions et Risques(ONPR),Charges techniques,3 148 102,3 912 406,5 169 723,5 350 182,5 760 724,6 394 995,6 606 326
5.14B,Evolution des montants annuels des dépenses à l'ONPR, Office National des Pensions et Risques(ONPR),Charges non techniques,575 298,888 222,936 409,1 321 973,1 331 222,1 025 568,1 242 703
5.14B,Evolution des montants annuels des dépenses à l'ONPR, Office National des Pensions et Risques(ONPR),Total,3 723 400,4 800 627,6 106 132,6 672 155,7 091 946,7 420 563,7 849 029
