id_tableau,titre_tableau,source,catégorie,sous_catégorie,2014,2015,2016,2017,2018
10.07,Evolution du réseau routier national (en km),Ministère du Transport,Route nationale,Longueur butimé,1572,1648,1524,1524,1647
10.07,Evolution du réseau routier national (en km),Ministère du Transport,Route nationale,Longueur en terre,380,304,428,428,305
10.07,Evolution du réseau routier national (en km),Ministère du Transport,Route provinciale,Longueur butimé,"8,6","8,6",9,9,9
10.07,Evolution du réseau routier national (en km),Ministère du Transport,Route provinciale,Longueur en terre,2496,2496,2496,2496,2496
10.07,Evolution du réseau routier national (en km),Ministère du Transport,Route communale,Longueur butimé,0,0,0,0,0
10.07,Evolution du réseau routier national (en km),Ministère du Transport,Route communale :,Longueur en terre,2587,2587,2587,2587,2587
10.07,Evolution du réseau routier national (en km),Ministère du Transport,Route à caractère touristique,Longueur butimé,0,0,0,0,""
10.07,Evolution du réseau routier national (en km),Ministère du Transport,Route à caractère touristique,Longueur en terre,4470,4470,4470,4470,4470
