id_tableau,titre_tableau,source,Infraction,2013,2014,2015,2016,2017,2018
20.02,Infractions au code pénal enregistrées par la Police,MSP,"Torture et autres traitements cruels, inhumains et dégradants (T1 C2)",20,14,4,35,-,-
20.02,Infractions au code pénal enregistrées par la Police,MSP,Traite et trafic d'êtres humains (T1 c6 s1),1,7,4,35,25,30
20.02,Infractions au code pénal enregistrées par la Police,MSP,Tromperie (T2 C2 S7 §2),26,17,16,67,55,79
20.02,Infractions au code pénal enregistrées par la Police,MSP,Viol ( T8 C2 S3),"1,032","1,118",678,"1,154","1,102",980
20.02,Infractions au code pénal enregistrées par la Police,MSP,Violation de domicile (T1 C6 S3),87,79,57,289,221,178
20.02,Infractions au code pénal enregistrées par la Police,MSP,Violences basées sur le genre,-,-,-,-,572,431
20.02,Infractions au code pénal enregistrées par la Police,MSP,Violences domestiques (T8 C1 S5),17,21,"",546,807,505
20.02,Infractions au code pénal enregistrées par la Police,MSP,Vol qualifié (T2 C1 S2),"4,607","4,495","3,597","5,377","6,323","5,570"
20.02,Infractions au code pénal enregistrées par la Police,MSP,Vol simple (T2 C1 S1),790,807,594,"1,862","2,810","1,740"
20.02,Infractions au code pénal enregistrées par la Police,MSP,Vol de bétail,-,-,-,-,262,154
20.02,Infractions au code pénal enregistrées par la Police,MSP,Zoophilie,10,4,3,"",-,""
20.02,Infractions au code pénal enregistrées par la Police,MSP,Autre,"1,093","1,219",960,"2,008","1,848","1,984"
20.02,Infractions au code pénal enregistrées par la Police,MSP,Total,"19,121","17,727","13,622","27,550","32,551","25,355"
