id_tableau,titre_tableau,source,categorie,sous_categorie,2002,2006,2008,2014
2.05,Nombre de logements avec WC moderne par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Bubanza,147,-,315,1073
2.05,Nombre de logements avec WC moderne par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Bujumbura,-,-,563,3783
2.05,Nombre de logements avec WC moderne par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Bururi,409,1778,759,1236
2.05,Nombre de logements avec WC moderne par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Cankuzo,71,-,135,1281
2.05,Nombre de logements avec WC moderne par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Cibitoke,253,545,250,2007
2.05,Nombre de logements avec WC moderne par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Gitega,-,1390,1185,4913
2.05,Nombre de logements avec WC moderne par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Karusi,-,-,167,1009
2.05,Nombre de logements avec WC moderne par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Kayanza,-,1623,519,4183
2.05,Nombre de logements avec WC moderne par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Kirundo,684,-,543,534
2.05,Nombre de logements avec WC moderne par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Makamba,-,198,419,8768
2.05,Nombre de logements avec WC moderne par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Muramvya,249,-,473,2639
2.05,Nombre de logements avec WC moderne par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Mwaro,-,-,255,7050
2.05,Nombre de logements avec WC moderne par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Muyinga,261,471,641,665
2.05,Nombre de logements avec WC moderne par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Ngozi,353,77,703,6668
2.05,Nombre de logements avec WC moderne par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Rutana,112,163,320,1151
2.05,Nombre de logements avec WC moderne par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Ruyigi,333,-,299,1299
2.05,Nombre de logements avec WC moderne par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Bujumbura Mairie,11014,17034,13728,55146
2.05,Nombre de logements avec WC moderne par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Rumonge,-,-,-,-
2.05,Nombre de logements avec WC moderne par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Burundi,Urbain,-,18732,16974,71318
2.05,Nombre de logements avec WC moderne par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Burundi,Rural,-,4547,4300,32091
2.05,Nombre de logements avec WC moderne par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Burundi,Ensemble,13886,23279,21274,103409
