id_tableau,titre_tableau,source,categorie,2012,2013,2014,2015,2016,2017,2018
5.15,Effectifs des  Affillies  par catégorie à l'ONPR,Office National des Pensions et Risques(ONPR).,Enseignants,67 924,72 246,74 083,77 042,79 044,78 255,78 319
5.15,Effectifs des  Affillies  par catégorie à l'ONPR,Office National des Pensions et Risques(ONPR).,Non enseignants,11 274,12 543,13 824,14 159,14 238,14 335,14 726
5.15,Effectifs des  Affillies  par catégorie à l'ONPR,Office National des Pensions et Risques(ONPR).,Détachés,265,387,489,438,483,500,6 029
5.15,Effectifs des  Affillies  par catégorie à l'ONPR,Office National des Pensions et Risques(ONPR).,TOTAL,79 463,85 176,88 396,91 639,93 765,93 090,99 074
