id_tableau,titre_tableau,source,categorie,2014,2015,2016
19.07,Nombre des dossiers enregistrés au parquet au cours de l'année,Ministère de la Justice,Parquet Général de la République,180,236,135
19.07,Nombre des dossiers enregistrés au parquet au cours de l'année,Ministère de la Justice,Parquet Général près la CA de BUJUMBURA,1853,904,982
19.07,Nombre des dossiers enregistrés au parquet au cours de l'année,Ministère de la Justice,PQ PRES TGI Bujumbura Mairie,4184,2157,1385
19.07,Nombre des dossiers enregistrés au parquet au cours de l'année,Ministère de la Justice,PQ PRES TGI Bujumbura Rural,1703,1010,859
19.07,Nombre des dossiers enregistrés au parquet au cours de l'année,Ministère de la Justice,PQ PRES TGI Bubanza,1238,1022,1296
19.07,Nombre des dossiers enregistrés au parquet au cours de l'année,Ministère de la Justice,PQ PRES TGI Cibitoke,1096,853,892
19.07,Nombre des dossiers enregistrés au parquet au cours de l'année,Ministère de la Justice,PQ PRES TGI Muha,-,-,217
19.07,Nombre des dossiers enregistrés au parquet au cours de l'année,Ministère de la Justice,PQ PRES Mukaza,-,-,495
19.07,Nombre des dossiers enregistrés au parquet au cours de l'année,Ministère de la Justice,PQ PRES Muramvya,842,694,691
19.07,Nombre des dossiers enregistrés au parquet au cours de l'année,Ministère de la Justice,PQ PRES Mwaro,880,755,870
