id_tableau,titre_tableau,source,Désignations,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
11.08,Evolution des pertes sur le réseau REGIDESO,REGIDESO,Production (MWh),-,-,"241,4",245 406,245 975,263 883,264 453,257 370,287 442,259 334,316 093
11.08,Evolution des pertes sur le réseau REGIDESO,REGIDESO,Consommation (MWh),-,-,"189,2",199 292,199 672,205 451,228 670,183 390,208 308,186 369,219 618
11.08,Evolution des pertes sur le réseau REGIDESO,REGIDESO,Perte (%),-,-,"21,68%","18,79%","18,82%","22,14%","13,53%","28,74%","27,53%","28,14%","30,52%"
