id_tableau,titre_tableau,source,catégorie,sous_catégorie,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
10.14,Trafic des envois enregistrés (nombre en millier), Régie Nationale des Postes (R.N.P.),Intérieur,"","22,4",-,"348,5",-,-,"256,6","304,8",-,"462,5","108,0","74,4"
10.14,Trafic des envois enregistrés (nombre en millier), Régie Nationale des Postes (R.N.P.),Intérieur,Dépôt,-,-,"91,6",-,-,"58,6","64,8",-,"355,2","21,8",-
10.14,Trafic des envois enregistrés (nombre en millier), Régie Nationale des Postes (R.N.P.),Intérieur,Réception,-,-,"82,7",-,-,"69,7","87,8","43,5","44,1","14,3","33,6"
10.14,Trafic des envois enregistrés (nombre en millier), Régie Nationale des Postes (R.N.P.),Intérieur,Expédition,-,-,"72,6",-,-,"34,8","58,9","59,8","63,2","66,9","40,8"
10.14,Trafic des envois enregistrés (nombre en millier), Régie Nationale des Postes (R.N.P.),Intérieur,Distribution,-,-,"101,6",-,-,"93,5","93,3",-,-,"5,1",-
10.14,Trafic des envois enregistrés (nombre en millier), Régie Nationale des Postes (R.N.P.),International,"",-,-,"82,7",-,-,"20,1","18,3",-,"8,7","7,9","9,8"
10.14,Trafic des envois enregistrés (nombre en millier), Régie Nationale des Postes (R.N.P.),International,Dépôt,-,-,"26,7",-,-,"4,9","4,1 -","",-,-,-
10.14,Trafic des envois enregistrés (nombre en millier), Régie Nationale des Postes (R.N.P.),International,Réception,"6,3",-,"17,5",-,-,"5,2","5,6",1059,"3,5","3,9","4,6"
10.14,Trafic des envois enregistrés (nombre en millier), Régie Nationale des Postes (R.N.P.),International,Expédition,"5,6",-,"18,2",-,-,"5,2","3,6","5,41","5,2","4,1","5,2"
10.14,Trafic des envois enregistrés (nombre en millier), Régie Nationale des Postes (R.N.P.),International,Distribution,-,-,"20,3",-,-,"4,8",5,-,-,-,-
