id_tableau,titre_tableau,source,clients,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
11.18, Consommation de la tourbe par catégorie de clients (en tonnes métriques)., Office National de la Tourbe (ONATOUR).,Forces armées,9 219,10 737,1 300,8 223,8 622,8 772,6 719,4 410,"7599,6",8 238
11.18, Consommation de la tourbe par catégorie de clients (en tonnes métriques)., Office National de la Tourbe (ONATOUR).,Autres,0,0,0,0,84,84,9,0,381,0
