id_tableau,titre_tableau,source,categorie,sous_categorie,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
16.02,Contreparties des ressources monétaires (fin d'année : en millions de FBU), BRB,Avoirs extérieurs nets,"","166 988,2","139 925,8","62 202,0","27 987,3","24 142,1","180 261,3","-76 150,1","-176 523,1","-149 085,4","-204 852,9"
16.02,Contreparties des ressources monétaires (fin d'année : en millions de FBU), BRB,Avoirs extérieurs nets,Avoirs bruts,"554 519,4","578 994,3","584811,9","676 506,3","701 536,3","700 883,1","428 699,1","291 920,8","345 522,8","288 193,4"
16.02,Contreparties des ressources monétaires (fin d'année : en millions de FBU), BRB,Avoirs extérieurs nets,Engagements à court terme,"-387 531,2","699 683,5","887 190,5","-648 519,0","677 394,2","520 621,8","504 849,2","468 443,9","494 608,2","493 046,3"
16.02,Contreparties des ressources monétaires (fin d'année : en millions de FBU), BRB,Crédits intérieurs nets,"","604 698,2","695 129,8","887 190,5","976 145,4","1 065 406,1","1 224 339,1","1 407 000,8","1 773 610,2","2 020 236,6","2 375 596,7"
16.02,Contreparties des ressources monétaires (fin d'année : en millions de FBU), BRB,Crédits intérieurs nets,Créances sur l'Etat nettes,"253 943,0","287 662,7","342 381,1","354 926,1","401 973,3","383 851,2","688 253,2","906 486,1","1 114 891,2","1 336 982,5"
16.02,Contreparties des ressources monétaires (fin d'année : en millions de FBU), BRB,Crédits intérieurs nets,Créances sur l'économie,"350 755,2","407 467,1","544 809,4","621 219,3","663 432,8","840 487,9","718 747,6","867 124,1","905 345,4","1 038 614,2"
