id_tableau,titre_tableau,source,catégorie,sous_catégorie,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
10.05,Caracteristiques de l'aéroport internationale de Bujumbura et les aerodromes du Burundi,Ministère du Transport,Aéroport international de Bujumbura,categorie,7,7,7,7,7,7,7,7,7,7,7
10.05,Caracteristiques de l'aéroport internationale de Bujumbura et les aerodromes du Burundi,Ministère du Transport,Aéroport international de Bujumbura,Longueur (en m),3 600,3 600,3 600,3 600,3 600,3 600,3 600,3 600,3 600,3 600,3 600
10.05,Caracteristiques de l'aéroport internationale de Bujumbura et les aerodromes du Burundi,Ministère du Transport,Aéroport international de Bujumbura,Largueur (en m),45,45,45,45,45,45,45,45,45,45,45
10.05,Caracteristiques de l'aéroport internationale de Bujumbura et les aerodromes du Burundi,Ministère du Transport,Aéroport international de Bujumbura,Altitude (en m),787,787,787,787,787,787,787,787,787,787,787
10.05,Caracteristiques de l'aéroport internationale de Bujumbura et les aerodromes du Burundi,Ministère du Transport,Aéroport international de Bujumbura,Aérodrome,"","","","","","","","","","",""
10.05,Caracteristiques de l'aéroport internationale de Bujumbura et les aerodromes du Burundi,Ministère du Transport,GITEGA,"
categorie",0,0,0,0,0,0,0,0,0,0,0
10.05,Caracteristiques de l'aéroport internationale de Bujumbura et les aerodromes du Burundi,Ministère du Transport,GITEGA,Longueur (en m),950,950,950,950,950,950,950,950,950,950,950
10.05,Caracteristiques de l'aéroport internationale de Bujumbura et les aerodromes du Burundi,Ministère du Transport,GITEGA,Largueur (en m),20,20,20,20,20,20,20,20,20,20,20
10.05,Caracteristiques de l'aéroport internationale de Bujumbura et les aerodromes du Burundi,Ministère du Transport,GITEGA,Altitude (en m),1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750
10.05,Caracteristiques de l'aéroport internationale de Bujumbura et les aerodromes du Burundi,Ministère du Transport,KIRUNDO,"
categorie",0,0,0,0,0,0,0,0,0,0,0
