id_tableau,titre_tableau,source,categorie,sous_categorie,2002,2006,2008,2014
2.03,Nombre de ménages locataires des logements par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Province,2002,2006,2008,2014
2.03,Nombre de ménages locataires des logements par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Bubanza,2261,1040,6548,3993
2.03,Nombre de ménages locataires des logements par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Bujumbura,14604,1645,8380,5843
2.03,Nombre de ménages locataires des logements par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Bururi,3598,3537,8088,3674
2.03,Nombre de ménages locataires des logements par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Cankuzo,375,71,2970,1085
2.03,Nombre de ménages locataires des logements par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Cibitoke,3040,1276,10364,11308
2.03,Nombre de ménages locataires des logements par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Gitega,573,3342,8265,3789
2.03,Nombre de ménages locataires des logements par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Karusi,39,441,3035,1437
2.03,Nombre de ménages locataires des logements par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Kayanza,8574,2516,7516,3315
2.03,Nombre de ménages locataires des logements par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Kirundo,3165,2153,11159,4349
