id_tableau,titre_tableau,source,categorie,sous-categorie,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
9.08,Production du Thé (feuilles vertes) (en tonnes),Office du Thé du Burundi (OTB)/Prothem,Bloc industriel,"",8607,8316,8178,9680,10508,10550,11633,12967,13897,13510,13630,13893
9.08,Production du Thé (feuilles vertes) (en tonnes),Office du Thé du Burundi (OTB)/Prothem,Bloc industriel,Teza,2194,2121,2002,2482,2202,2396,2572,3205,3429,3439,3520,3351
9.08,Production du Thé (feuilles vertes) (en tonnes),Office du Thé du Burundi (OTB)/Prothem,Bloc industriel,Rwegura,3488,3874,3958,4591,5295,4988,5586,6039,6660,6109,6203,6205
9.08,Production du Thé (feuilles vertes) (en tonnes),Office du Thé du Burundi (OTB)/Prothem,Bloc industriel,Tora,1057,947,913,903,1051,1191,1376,1505,1515,1543,1621,1680
9.08,Production du Thé (feuilles vertes) (en tonnes),Office du Thé du Burundi (OTB)/Prothem,Bloc industriel,Buhoro,1868,1375,1306,1703,1960,1975,2099,2218,2293,2419,2252,2357
9.08,Production du Thé (feuilles vertes) (en tonnes),Office du Thé du Burundi (OTB)/Prothem,Bloc industriel,Usine théicole Prothem,"","","","",19,25,30,48,48,44,34,42
9.08,Production du Thé (feuilles vertes) (en tonnes),Office du Thé du Burundi (OTB)/Prothem,Milieu villageois,"",25070,23473,23652,28196,30344,31598,30184,36681,36681,35466,35650,36928
9.08,Production du Thé (feuilles vertes) (en tonnes),Office du Thé du Burundi (OTB)/Prothem,Milieu villageois,Banga-Teza,5510,4601,4867,3244,6788,6643,5838,8185,8185,7487,6611,7184
9.08,Production du Thé (feuilles vertes) (en tonnes),Office du Thé du Burundi (OTB)/Prothem,Milieu villageois,Tora,5330,5111,4586,5471,5659,6499,6345,6370,6370,7414,6617,7819
9.08,Production du Thé (feuilles vertes) (en tonnes),Office du Thé du Burundi (OTB)/Prothem,Milieu villageois,Rwegura,5156,5023,5661,6765,7806,8425,8440,10137,10137,8678,8210,9866
9.08,Production du Thé (feuilles vertes) (en tonnes),Office du Thé du Burundi (OTB)/Prothem,Milieu villageois,Ijenda,8187,7505,7578,8405,8360,8298,7621,9766,9766,9244,7228,9311
9.08,Production du Thé (feuilles vertes) (en tonnes),Office du Thé du Burundi (OTB)/Prothem,Milieu villageois,Buhoro,886,1232,960,1311,1731,1733,1940,2223,2223,2643,2726,2748
9.08,Production du Thé (feuilles vertes) (en tonnes),Office du Thé du Burundi (OTB)/Prothem,Milieu villageois,Usine théicole Prothem,"","","","",2553,5666,5228,3224,3224,3725,4258,2783
