id_tableau,titre_tableau,source,categorie,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
9.13,Evolution des superficies de canne à sucre,SOSUMO,Superficie cultivée (ha),2950,2850,2860,2860,2814,2848,2890,2998,2998,3033,3250,3057
9.13,Evolution des superficies de canne à sucre,SOSUMO,Superficie récoltée (ha),2234,2584,2198,1859,1676,1820,2246,2549,2533,2653,2516,2429
