id_tableau,titre_tableau,source,categorie,sous_categorie,2002,2006,2008,2014
2.06,Nombre de logements avec murs en dur par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Bubanza,377,866,2535,1532
2.06,Nombre de logements avec murs en dur par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Bujumbura,2528,3180,9347,17140
2.06,Nombre de logements avec murs en dur par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Bururi,12935,18674,30359,48423
2.06,Nombre de logements avec murs en dur par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Cankuzo,712,428,2413,3234
2.06,Nombre de logements avec murs en dur par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Cibitoke,3840,11638,11505,20586
2.06,Nombre de logements avec murs en dur par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Gitega,2006,3342,8112,8667
2.06,Nombre de logements avec murs en dur par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Karusi,39,29,2207,890
2.06,Nombre de logements avec murs en dur par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Kayanza,698,2298,4885,3535
2.06,Nombre de logements avec murs en dur par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Kirundo,1461,1013,4258,1176
2.06,Nombre de logements avec murs en dur par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Makamba,8334,14261,31910,31722
