id_tableau,titre_tableau,source,categorie,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
3.16,Evolution mensuelle des précipitations par station météorologique de Kirundo (en mm),IGEBU,Janvier,"39,3","130,3",67,"112,9","37,6",66,"6,8","83,1","68,5","70,2","36,2","25,2","158,5"
3.16,Evolution mensuelle des précipitations par station météorologique de Kirundo (en mm),IGEBU,Février,46,147,144,"136,9","211,1","93,4",99,"18,7",177,"55,2","122,6","75,2",-
3.16,Evolution mensuelle des précipitations par station météorologique de Kirundo (en mm),IGEBU,Mars,"143,4","99,9","252,1","115,1",144,"166,2","150,1","154,5","98,1",76,"115,9","131,9",-
3.16,Evolution mensuelle des précipitations par station météorologique de Kirundo (en mm),IGEBU,Avril,"160,7","242,9","143,3",175,"176,7","204,6","146,8","232,2","151,1",185,"127,9",155,"249,5"
3.16,Evolution mensuelle des précipitations par station météorologique de Kirundo (en mm),IGEBU,Mai,"199,5","77,9","56,2","119,3",90,"134,7","175,3","42,5","21,2","180,8","21,4","42,5","157,2"
3.16,Evolution mensuelle des précipitations par station météorologique de Kirundo (en mm),IGEBU,Juin,"4,6","12,3","2,4","0,7","19,5","28,3","35,4",0,"8,5",0,0,"14,1","7,5"
3.16,Evolution mensuelle des précipitations par station météorologique de Kirundo (en mm),IGEBU,Juillet,"2,9","28,4","9,5",0,0,"37,5",0,0,"2,3",0,0,0,0
3.16,Evolution mensuelle des précipitations par station météorologique de Kirundo (en mm),IGEBU,Août,"45,1","47,8","35,8","25,7",0,"3,3","30,6","39,5","33,5","4,2",0,"16,8","81,2"
3.16,Evolution mensuelle des précipitations par station météorologique de Kirundo (en mm),IGEBU,Septembre,"64,4","85,2","84,6","102,2","74,5","95,7","101,5","137,8","157,3","143,8","42,2","68,2","32,8"
3.16,Evolution mensuelle des précipitations par station météorologique de Kirundo (en mm),IGEBU,Octobre,"77,3","115,9","94,3","87,1","35,1","172,3","134,7","169,4","105,7","167,9","58,8",121,"81,9"
3.16,Evolution mensuelle des précipitations par station météorologique de Kirundo (en mm),IGEBU,Novembre,"225,2","129,6","62,5","147,2","108,2","175,1",126,"37,6","156,2","162,5","212,2","249,3","142,5"
3.16,Evolution mensuelle des précipitations par station météorologique de Kirundo (en mm),IGEBU,Décembre,"130,6","26,4",-,"86,5","163,9",93,"163,4","93,6","146,2","76,8","40,7","41,5","62,6"
3.16,Evolution mensuelle des précipitations par station météorologique de Kirundo (en mm),IGEBU,Moyenne annuelle,"94,9","95,3","86,5","92,4","88,4","105,8","97,5","84,1","93,8","95,6","64,8","78,4","97,4"
