id_tableau,titre_tableau,source,categorie,sous-categorie,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
9.17,Production des principales industries,Banque de la République du Burundi (BRB),Industries extractives,Tourbes (tonnes),7489,9764,11352,13111,7982,20335,19256,11376,3967,3967,13908,11801
9.17,Production des principales industries,Banque de la République du Burundi (BRB),Industries agricoles,Café (tonnes),8039,24863,6814,24235,14228,23845,10769,10405,18367,18367,"",20074
9.17,Production des principales industries,Banque de la République du Burundi (BRB),Industries agricoles,Coton fibre (tonnes),1231,1222,1094,1672,1860,1623,2238,2457,2299,2299,779,2066
9.17,Production des principales industries,Banque de la République du Burundi (BRB),Industries agricoles,Thé (tonnes),6868,6715,6731,8025,8871,9134,9074,"",53802,53802,9641,10701
9.17,Production des principales industries,Banque de la République du Burundi (BRB),Industries alimentaires,Huile de coton (Hl),512,336,315,265,436,478,381,181,"",413,18805,15685
9.17,Production des principales industries,Banque de la République du Burundi (BRB),Industries alimentaires,Sucre (tonnes),20213,18233,14314,18937,20688,23688,25821,21543,23012,236556,21940,19535
9.17,Production des principales industries,Banque de la République du Burundi (BRB),Industries alimentaires,Aliments pour bétail (tonnes),"","","","","","","","","","","",""
9.17,Production des principales industries,Banque de la République du Burundi (BRB),Industries alimentaires,Boissons (Hl),1583644,1653674,1653530,1985175,2080664,2041379,2143902,2211492,"",2080221,2328436,2450875
9.17,Production des principales industries,Banque de la République du Burundi (BRB),Industries alimentaires,Cigarettes (en millier),472455,436065,514240,457825,510350,650350,630975,538965,"",887475,799955,710060
9.17,Production des principales industries,Banque de la République du Burundi (BRB),Industries alimentaires,Riz(T),8153,5388,7038,2470,52,349,592,"",1732,1732,1691,1107
9.17,Production des principales industries,Banque de la République du Burundi (BRB),Industries chimiques,Films en polyéthylène (kg),53482,23778,17546,1588,"","","","","","","",""
9.17,Production des principales industries,Banque de la République du Burundi (BRB),Industries chimiques,Savons de toilette (kg),144923,202128,195495,217921,236000,274000,269778,1335869,"",559875,582287,425438
9.17,Production des principales industries,Banque de la République du Burundi (BRB),Industries chimiques,Savons de ménage (1000 kg),2669,5469,5805,5201,8532,9388,13476,14106,"",16684,12615,14683
9.17,Production des principales industries,Banque de la République du Burundi (BRB),Industries chimiques,Peinture (tonnes),498,505,450,543,613,61,716,822,"",697,868,734
9.17,Production des principales industries,Banque de la République du Burundi (BRB),Industries chimiques,Oxygène (m3),45278,18100,37103,33481,47878,47071,65107,25591,"",20840,17917,33214
9.17,Production des principales industries,Banque de la République du Burundi (BRB),Industries chimiques,Mousse (matelas),25284,16820,20070,16974,32646,16612,15600,13522,"",12440,9259,5997
9.17,Production des principales industries,Banque de la République du Burundi (BRB),Industries chimiques,Casiers en plastique (unités),184348,367649,361107,393235,322447,592829,322916,877060,"",413834,152691,268735
9.17,Production des principales industries,Banque de la République du Burundi (BRB),Industries - Matériaux de construction,Tubes en PVC (kg),176541,104419,139945,143152,174179,65096,100630,95681,"",140824,140824,47835
9.17,Production des principales industries,Banque de la République du Burundi (BRB),Industries d'ouvrages en métaux,Clous (tonnes),614,599,907,1038,2109,1573,"","","",15430,"",""
9.17,Production des principales industries,Banque de la République du Burundi (BRB),Industries d'ouvrages en métaux,Profilés aciers (tonnes),9,17,27,39,28,22,"","","","",11,19
9.17,Production des principales industries,Banque de la République du Burundi (BRB),Industries d'ouvrages en métaux,Toles ondulées(pièce),"","","",196826,164894,"","","","","","",""
9.17,Production des principales industries,Banque de la République du Burundi (BRB),Autres industries,"Papier de toilette (millier de 
rouleau)",1281000,1095800,1201773,1181056,1045700,1113378,"","","","","",""
