id_tableau,titre_tableau,source,categorie,2013,2014,2015,2016
19.12,Nombre de jugements pénaux rendus par les tribunaux de Grande Instance selon le type de viol,Ministère de la Justice,Viol sur les Adultes,161,193,177,242
19.12,Nombre de jugements pénaux rendus par les tribunaux de Grande Instance selon le type de viol,Ministère de la Justice,Viol sur les mineurs,359,536,676,476
19.12,Nombre de jugements pénaux rendus par les tribunaux de Grande Instance selon le type de viol,Ministère de la Justice,Autres violences faites aux femmes,44,104,217,247
19.12,Nombre de jugements pénaux rendus par les tribunaux de Grande Instance selon le type de viol,Ministère de la Justice,Autres violences faites aux enfants,39,79,132,71
