id_tableau,titre_tableau,source,categorie,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
9.12,"Evolution de la production de la canne, du sucre et de la mélasse(en tonne)",SOSUMO,Production canne,189172,168196,132764,164490,206883,220326,239519,206644,213130,218115,215118,178439
9.12,"Evolution de la production de la canne, du sucre et de la mélasse(en tonne)",SOSUMO,Production sucre,20145,18234,14161,18937,20501,23149,25802,21517,23012,23848,22093,19535
9.12,"Evolution de la production de la canne, du sucre et de la mélasse(en tonne)",SOSUMO,Production mélasse,5210,5210,4800,4933,7132,7698,8858,7483,8858,8329,7880,6119
