id_tableau,titre_tableau,source,Catégories de consommateurs,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
11.11,Evolution de la consommation d'eau par catégorie de consommateurs (en m3),REGIDESO,Gouvernement,2 008,2 009,2 553 387,2 877 341,2 789 884,2 796 419,2 248 456,5 121 299,3 684 433,2 699 503,2 860 619
11.11,Evolution de la consommation d'eau par catégorie de consommateurs (en m3),REGIDESO,Mairie et Commune,3 677 933,2 666 567,1202154,504 275,1 526 791,604 161,265 240,263 378,238 866,30 921,149 959
11.11,Evolution de la consommation d'eau par catégorie de consommateurs (en m3),REGIDESO,Commerce,645 532,458 960,2 139 953,2 394 273,2 204 060,2 321 845,2 347 872,2 430 422,2 172 008,2 769 668,2 054 739
11.11,Evolution de la consommation d'eau par catégorie de consommateurs (en m3),REGIDESO,Industries et artisanat,1 067 106,1 056 201,1 123 025,1 268 400,1 428 909,1 258 925,1 436 857,1 091 086,1 268 832,1 284 357,1 365 821
11.11,Evolution de la consommation d'eau par catégorie de consommateurs (en m3),REGIDESO,Ménages,1 845 659,2 216 427,13 392 988,15 729 545,16 187 754,17 131 742,19 502 256,19 796 031,16 323 001,17 421 698,19 313 185
11.11,Evolution de la consommation d'eau par catégorie de consommateurs (en m3),REGIDESO,REGIDESO,1 096 506,1 063 077,191 488,201 005,294 196,95 091,104 829,98 646,107 653,82 659,57 430
11.11,Evolution de la consommation d'eau par catégorie de consommateurs (en m3),REGIDESO,Organismes internationaux,12 165 768,13 387 170,200 559,166 677,176 046,383 391,274 089,75 605,133 091,135 178,245 283
11.11,Evolution de la consommation d'eau par catégorie de consommateurs (en m3),REGIDESO,Sociétés d'Etat,139 023,152 381,146 631,163 568,143 874,191 655,151 347,252 059,92 282,95 990,73 475
11.11,Evolution de la consommation d'eau par catégorie de consommateurs (en m3),REGIDESO,"Administration, gestion personnalisé",794 329,874 780,943 357,838 765,1 180 125,1 436 873,1 063 228,1 735 276,1 289 629,1 504 347,1 521 258
11.11,Evolution de la consommation d'eau par catégorie de consommateurs (en m3),REGIDESO,Conf. Religieuses et org. soc.,133 624,207 033,472 031,510 065,909 416,666 807,776 293,557 927,550 640,484 937,743 145
11.11,Evolution de la consommation d'eau par catégorie de consommateurs (en m3),REGIDESO,prépaiement,245 682,185 911,"","",242 306,208 215,413 696,51 338,12 547,22 574,50 269
