id_tableau,titre_tableau,source,categorie,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
3.03,Température minimum annuelle par  station météorologique (en °C),IGEBU,Bubanza - Imbo - Sems,-,-,-,-,-,"19,3",-,-,"13,4","15,5","19,5","19,4","19,4"
3.03,Température minimum annuelle par  station météorologique (en °C),IGEBU,Cibitoke - Mparambo,-,-,-,-,-,"17,7","","12,6","13,0","15,8","18,6","17,1","18,9"
3.03,Température minimum annuelle par  station météorologique (en °C),IGEBU,Bujumbura - Bujumbura,"14,4","14,5","13,1","14,1",15,"19,3","19,2","19,4","16,0","13,1","20,5","19,4","20,1"
3.03,Température minimum annuelle par  station météorologique (en °C),IGEBU,Bururi-Mpotsa,"","","","","","","","","","","","","10,6"
3.03,Température minimum annuelle par  station météorologique (en °C),IGEBU,Bururi -Kigwena - Vyanda,"5,6",7,"11,5","12,3",12,"15,3","12,7","12,8","12,9","12,8","11,5","15,8","15,6"
3.03,Température minimum annuelle par  station météorologique (en °C),IGEBU,Makamba - Makamba,-,-,-,-,-,-,"18,8","17,5","22,9","11,5","17,4","16,8","16,5"
3.03,Température minimum annuelle par  station météorologique (en °C),IGEBU,Gitega -Ruvyironza,"","","","","","","","","","","","","11,3"
3.03,Température minimum annuelle par  station météorologique (en °C),IGEBU,Gitega - Gitega,"8,7","8,7","6,1","7,3","8,8","13,9","13,9","14,0","10,0","8,3","15,0","14,6","14,6"
3.03,Température minimum annuelle par  station météorologique (en °C),IGEBU,Karuzi - Karuzi,"8,2","9,9","7,8","9,3","9,3","13,1","12,9","12,7","9,3","10,4","14,0","13,6","13,2"
3.03,Température minimum annuelle par  station météorologique (en °C),IGEBU,Muramvya - Teza,-,-,-,-,-,-,-,-,-,-,-,-,""
3.03,Température minimum annuelle par  station météorologique (en °C),IGEBU,Muyinga - Muyinga,"11,4",10,-,- -,"",-,"15,1","15,5","12,0","11,8","15,8","14,4","14,5"
3.03,Température minimum annuelle par  station météorologique (en °C),IGEBU,Kirundo - Kirundo,"12,6",13,"9,9","9,6","9,2","16,2","16,3","16,4","14,0","13,5","17,4","17,0","15,8"
3.03,Température minimum annuelle par  station météorologique (en °C),IGEBU,Ngozi - Nyamuswaga,"2,8","5,2",1,"2,4",2,"11,9","15,5","11,8","5,5","9,5","12,1","12,2","12,2"
3.03,Température minimum annuelle par  station météorologique (en °C),IGEBU,Kayanza - Rwegura,-,-,6,-,"8,5","11,2",-,"11,0","8,0","9,5","11,5","11,3","11,0"
3.03,Température minimum annuelle par  station météorologique (en °C),IGEBU,Cankuzo - Cankuzo,"6,5","5,5","4,8","6,5",-,"15,8","15,6","15,6","12,7","13,0","16,5","16,2","15,8"
3.03,Température minimum annuelle par  station météorologique (en °C),IGEBU,Rutana - Musasa,-,-,"7,4",9,-,16,"15,9","16,0","10,9","9,4","15,5","16,3","16,3"
3.03,Température minimum annuelle par  station météorologique (en °C),IGEBU,Ruyigi-Ruyigi,"","","","","","","","","","","","","13,0"
3.03,Température minimum annuelle par  station météorologique (en °C),IGEBU,Ruyigi - Muriza,-,"6,4",4,"5,2","5,9","13,3","13,0","11,5","5,6","10,0","13,2","12,7","12,7"
3.03,Température minimum annuelle par  station météorologique (en °C),IGEBU,Mwaro - Gisozi,"6,5","6,6","4,5",5,"5,6","11,1","10,6","10,5","4,9","6,0","11,2","10,7","11,2"
