id_tableau,titre_tableau,source,categorie,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
3.12,Evolution mensuelle des précipitations par station météorologique de Cankuzo (en mm),IGEBU,Janvier,175,141,"250,6","91,5","180,7","96,4","37,98","124,8","93,1","59,4","166,7","49,9","118,1"
3.12,Evolution mensuelle des précipitations par station météorologique de Cankuzo (en mm),IGEBU,Février,188,115,252,"160,9","235,8","109,7","97,1","126,5","121,1","67,7","144,1","115,6","118,6"
3.12,Evolution mensuelle des précipitations par station météorologique de Cankuzo (en mm),IGEBU,Mars,171,"99,1","126,1","138,8","195,1","90,7","106,8","113,5","150,5","156,9","41,5","303,6",-
3.12,Evolution mensuelle des précipitations par station météorologique de Cankuzo (en mm),IGEBU,Avril,134,167,"119,6","193,2","173,5","232,2","199,5","226,7","79,4","156,6","173,3","121,8","329,7"
3.12,Evolution mensuelle des précipitations par station météorologique de Cankuzo (en mm),IGEBU,Mai,113,"31,2","2,3",53,74,"38,5","73,2","29,7","5,9","105,1","12,8","74,2","34,9"
3.12,Evolution mensuelle des précipitations par station météorologique de Cankuzo (en mm),IGEBU,Juin,0,"10,8","16,6","16,9",0,"17,4","16,5",0,"20,1",0,0,0,"5,8"
3.12,Evolution mensuelle des précipitations par station météorologique de Cankuzo (en mm),IGEBU,Juillet,"2,2","16,3","4,7","0,3",0,"28,6",0,0,0,0,0,0,0
3.12,Evolution mensuelle des précipitations par station météorologique de Cankuzo (en mm),IGEBU,Août,"14,4","13,8",19,-,0,"7,8","37,9","10,4","50,8","0,3",0,"20,6","30,6"
3.12,Evolution mensuelle des précipitations par station météorologique de Cankuzo (en mm),IGEBU,Septembre,"56,8","26,1","33,9",44,"73,5","115,3","27,5","87,3",60,"27,1","61,1","50,4","7,2"
3.12,Evolution mensuelle des précipitations par station météorologique de Cankuzo (en mm),IGEBU,Octobre,"60,7","99,1","89,6","97,7","95,9","131,2","120,6","96,6","135,1","129,1","46,8","88,7","176,6"
