id_tableau,titre_tableau,source,catégorie,sous_catégorie,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
10.16,Trafic des mandats postaux (montant en millier)., Régie Nationale des Postes (R.N.P.),Emis,Nombre,1588,1499,1 682,757,-,-,68,"11,0","17,1","78,1","48,0"
10.16,Trafic des mandats postaux (montant en millier)., Régie Nationale des Postes (R.N.P.),Emis,Montant,"17 917,7","16 914,8","18 796,5","8 500,2",-,-,"1 062,0","6,4","7,9",-,"4,0"
10.16,Trafic des mandats postaux (montant en millier)., Régie Nationale des Postes (R.N.P.),Payés,Nombre,988,693,1 234,632,-,-,28,"16,1","22,3","131,3",79.9
10.16,Trafic des mandats postaux (montant en millier)., Régie Nationale des Postes (R.N.P.),Payés,Montant,"17 375,9","12 187,9","16 340,5","6 850,7",-,-,"3 887,0","5 388,6","7 508,1","5 293,9","5 373,0"
