id_tableau,titre_tableau,source,categorie,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
3.05,Evolution mensuelle des précipitations par station météorologique de Bujumbura - Aéroport (en mm),IGEBU,Janvier,87,143,"99,1",125,"210,4","76,6","84,4","91,6","113,1","76,2","110,6","37,7",-
3.05,Evolution mensuelle des précipitations par station météorologique de Bujumbura - Aéroport (en mm),IGEBU,Février,121,"81,7","166,7",148,124,"88,4","96,2",66,"160,4","125,8",97,"123,1",-
3.05,Evolution mensuelle des précipitations par station météorologique de Bujumbura - Aéroport (en mm),IGEBU,Mars,124,"86,5",71,"188,4","155,8","173,3","43,6","85,9","80,6","52,4","31,4","119,9",-
3.05,Evolution mensuelle des précipitations par station météorologique de Bujumbura - Aéroport (en mm),IGEBU,Avril,111,150,"69,2","133,3","63,7","116,9","104,1","113,4","55,6","81,3","78,8","54,0","239,0"
3.05,Evolution mensuelle des précipitations par station météorologique de Bujumbura - Aéroport (en mm),IGEBU,Mai,"88,9","22,2","23,2","86,8","33,8","62,5","54,4","37,8","5,7",43,"27,5","34,3","91,2"
3.05,Evolution mensuelle des précipitations par station météorologique de Bujumbura - Aéroport (en mm),IGEBU,Juin,"2,5","10,7","89,2","1,6","4,4","33,3","46,8",0,19,"2,9",0,"0,0","3,0"
3.05,Evolution mensuelle des précipitations par station météorologique de Bujumbura - Aéroport (en mm),IGEBU,Juillet,"0,9","52,3","15,1",0,"3,7","23,6",0,0,0,0,0,"0,0","21,6"
3.05,Evolution mensuelle des précipitations par station météorologique de Bujumbura - Aéroport (en mm),IGEBU,Août,"38,1","6,9","3,6","3,5",0,"4,6","29,5","13,4","33,9","6,4",0,"21,0","16,8"
3.05,Evolution mensuelle des précipitations par station météorologique de Bujumbura - Aéroport (en mm),IGEBU,Septembre,"32,3","29,9","31,9","5,1","41,2",87,"33,6","79,4",0,"23,1","22,4","25,4","4,3"
3.05,Evolution mensuelle des précipitations par station météorologique de Bujumbura - Aéroport (en mm),IGEBU,Octobre,63,113,"69,7","67,6","50,9","67,5","172,7","12,4","76,4","120,9","4,6","46,8","42,1"
3.05,Evolution mensuelle des précipitations par station météorologique de Bujumbura - Aéroport (en mm),IGEBU,Novembre,157,"63,4","65,1","248,7","90,8","108,9","56,7","59,5","45,2","97,5","53,6","61,2","112,4"
3.05,Evolution mensuelle des précipitations par station météorologique de Bujumbura - Aéroport (en mm),IGEBU,Décembre,215,"94,6",37,"225,8",71,"194,8",246,"123,2",197,"132,7","49,5","71,7","100,0"
3.05,Evolution mensuelle des précipitations par station météorologique de Bujumbura - Aéroport (en mm),IGEBU,Moyenne annuelle,"86,7","71,1","61,7","102,8","70,8","86,4","80,7","56,9","65,6","63,5","39,6","49,6","70,0"
