id_tableau,titre_tableau,source,code,produit,quantité,unité,2017,2018
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11313010,Capitaine,1,kg,"",16213
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11313020,Inonzi frais,1,kg,"",13307
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11313030,Sangala frais,1,kg,13808,13289
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11313040,Tilapia frais,1,kg,25344,29512
12.02,Prix moyen à la consommation des ménages,ISTEEBU,1132,Poissons,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11321010,Ndagala sec local,1,kg,25051,26522
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11322010,Ndagala sec importé,1,kg,6151,6996
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11323010,Mukeke sec et fumé,1,kg,12397,16887
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11324010,Makayabu sec importé,1,kg,4976,8889
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11324020,Sardine à  tomate,155,gr,1233,1268
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11324030,Sardine à  huile,25,gr,2498,2386
12.02,Prix moyen à la consommation des ménages,ISTEEBU,114,Lait,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,1141,Lait,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11411010,Lait frais de vache local (Imfyufyu),1,Litre,1222,1013
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11412010,Lait frais en carton importé/ INYANGE,1,Litre,4698,5001
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11412020,Lait frais en paquet Hiland importé,500,Millilitre(s),1741,1973
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11412030,Lait de vache local pasteurisé en bouteille en plastic,500,Millilitre(s),1786,1386
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11412040,Lait en poudre NIDO 400 gr,400,gr,15844,18601
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11412050,Lait en poudre SUPALAIT 400 gr,400,gr,11445,12082
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11412060,Lait concentré sucré NESTLE,400,gr,11581,7934
12.02,Prix moyen à la consommation des ménages,ISTEEBU,1142,Produits laitiers,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11421010,Yaourt naturel en pot en plastic,150,gr,1718,699
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11421020,Crème fraîche,500,gr,8777,-
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11421030,Fromage importé du Rwanda,1,kg,11842,11818
12.02,Prix moyen à la consommation des ménages,ISTEEBU,1143,OEufs de poule,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11431010,OEuf local,1,Unité,337,303
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11431020,OEuf industriel local,1,Unité,288,311
12.02,Prix moyen à la consommation des ménages,ISTEEBU,115,Huiles et graisses,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,1152,Huiles,"","","",""
