id_tableau,titre_tableau,source,journal,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
10.19,Evolution des parutions de la presse écrite, Conseil National de la Communication.,Renouveau ,260,260,260,260,260,260,260,260,262,261,264
10.19,Evolution des parutions de la presse écrite, Conseil National de la Communication.,Ubumwe,50,52,52,52,52,52,52,52,52,52,52
