id_tableau,titre_tableau,source,institution_financiere,2010,2011,2012,2013,2014,2015,2016,2017,2018
18.12,Evolution des établissements financies,BRB,Banque central,1,1,1,1,1,1,1,1,1
18.12,Evolution des établissements financies,BRB,Banques commerciales,10,10,12,12,12,12,12,12,12
18.12,Evolution des établissements financies,BRB,Etablissement financier spécialisé,2,2,4,4,4,4,4,4,4
18.12,Evolution des établissements financies,BRB,Microfinances,17,18,23,28,28,32,33,33,33
