id_tableau,titre_tableau,source,categorie,sous_categorie,2002,2006,2008,2014
2.02,Nombre de ménages propriétaires des logements par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Bubanza,57276,53534,58015,73134
2.02,Nombre de ménages propriétaires des logements par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Bujumbura,74517,105818,90567,113785
2.02,Nombre de ménages propriétaires des logements par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Bururi,72557,77577,95621,112632
2.02,Nombre de ménages propriétaires des logements par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Cankuzo,36806,35333,40194,50730
2.02,Nombre de ménages propriétaires des logements par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Cibitoke,75596,72155,77492,90669
2.02,Nombre de ménages propriétaires des logements par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Gitega,141884,126860,137285,183176
2.02,Nombre de ménages propriétaires des logements par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Karusi,77730,72800,85628,105561
2.02,Nombre de ménages propriétaires des logements par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Kayanza,89529,104596,111615,136858
2.02,Nombre de ménages propriétaires des logements par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Kirundo,116246,122696,127592,154830
2.02,Nombre de ménages propriétaires des logements par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Makamba,74702,54575,68890,91541
