id_tableau,titre_tableau,source,categorie,sous_categorie,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
3.19,Evolution mensuelle des précipitations par station météorologique de Mparambo (en mm),IGEBU,Janvier,"",-,-,-,-,"116,1","77,1","49,9","84,6","114,3","116,7","144,5","55,0",""
3.19,Evolution mensuelle des précipitations par station météorologique de Mparambo (en mm),IGEBU,Février ,"",-,-,-,-,"159,4","119,2","80,6",51,"107,8","33,1","78,3","107,1",""
3.19,Evolution mensuelle des précipitations par station météorologique de Mparambo (en mm),IGEBU,Mars,"",-,-,-,-,"112,7","108,1","55,7","250,5","54,8","135,8","61,9","105,3",""
3.19,Evolution mensuelle des précipitations par station météorologique de Mparambo (en mm),IGEBU,Avril,"",-,-,-,"118,3","228,7","122,2","112,6",112,"70,9","128,8","167,9","61,3",""
3.19,Evolution mensuelle des précipitations par station météorologique de Mparambo (en mm),IGEBU,Mai,"",-,-,-,"225,8",92,"67,7","81,5","45,6","28,2","54,8",164,"66,9",""
3.19,Evolution mensuelle des précipitations par station météorologique de Mparambo (en mm),IGEBU,Juin,"",-,-,-,"84,3","22,4","54,3","15,1",0,"42,6","51,3","36,9","0,0",""
3.19,Evolution mensuelle des précipitations par station météorologique de Mparambo (en mm),IGEBU,Juillet,"",-,-,-,"0,1",4,"2,1",0,"1,4",1,0,0,"1,4",""
3.19,Evolution mensuelle des précipitations par station météorologique de Mparambo (en mm),IGEBU,Août,"",-,-,-,"2,3",0,"23,7","19,8","38,3","16,2","20,1","5,4","43,3",""
3.19,Evolution mensuelle des précipitations par station météorologique de Mparambo (en mm),IGEBU,Septembre,"",-,-,-,"0,8",90,"58,5","51,9","556,6","73,5","67,5","24,9","45,9",""
3.19,Evolution mensuelle des précipitations par station météorologique de Mparambo (en mm),IGEBU,Octobre,"",-,-,-,"50,4","53,6",82,"154,2",32,"128,2","97,3","50,9","65,7",""
