id_tableau,titre_tableau,source,Désignations,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
11.20,Production nationale d'énergie primaire, Ministère de l'Energie et des Mines),Charbon de bois (tonnes),62 405,2 100 086,157 427,177 792,182 059,186 429,190 902,195 484,200 176,204 980
11.20,Production nationale d'énergie primaire, Ministère de l'Energie et des Mines),Tourbe (tonnes),5 594,11 352,13 111,7 982,20 335,19 256,11 376,3 967,9 541,13 908
11.20,Production nationale d'énergie primaire, Ministère de l'Energie et des Mines),Bois de chauffage,3 849 588,5 892 985,6 086 610,9 242 558,9 464 379,9 691 524,9 924 121,10 162 300,10 406 195,10 655 944
