id_tableau,titre_tableau,source,Nom du central,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
10.08,Nombre d'abonnés raccordés au central téléphonique fixe de l'ONATEL, Office National des Télécommunications (ONATEL).,Bujumbura I,16 958,17 391,17 052,17 391,13 000,13 708,12 724,12 925,9 911,9 520,9 898
10.08,Nombre d'abonnés raccordés au central téléphonique fixe de l'ONATEL, Office National des Télécommunications (ONATEL).,Ngagara (Bujumbura II),7 139,7 398,8 104,7 332,5 263,5 449,4 914,4 929,2 447,2 390,2 447
10.08,Nombre d'abonnés raccordés au central téléphonique fixe de l'ONATEL, Office National des Télécommunications (ONATEL).,Kanyosha(Bujumbura III),1 648,1 728,1 799,1 716,1 180,1 170,1 096,1 088,396,381,396
10.08,Nombre d'abonnés raccordés au central téléphonique fixe de l'ONATEL, Office National des Télécommunications (ONATEL).,Gitega,1 455,1 520,1 503,1 346,1 240,1 037,1 048,860,758,717,652
10.08,Nombre d'abonnés raccordés au central téléphonique fixe de l'ONATEL, Office National des Télécommunications (ONATEL).,Ruyigi,135,134,149,143,85,160,79,79,79,79,79
10.08,Nombre d'abonnés raccordés au central téléphonique fixe de l'ONATEL, Office National des Télécommunications (ONATEL).,Cankuzo,95,96,111,97,39,100,39,39,39,39,39
10.08,Nombre d'abonnés raccordés au central téléphonique fixe de l'ONATEL, Office National des Télécommunications (ONATEL).,Karuzi,40,34,44,36,34,67,31,31,31,31,31
10.08,Nombre d'abonnés raccordés au central téléphonique fixe de l'ONATEL, Office National des Télécommunications (ONATEL).,Kirundo,345,352,357,291,450,134,204,206,153,158,153
10.08,Nombre d'abonnés raccordés au central téléphonique fixe de l'ONATEL, Office National des Télécommunications (ONATEL).,Kayanza,409,414,393,319,330,169,179,177,148,146,148
10.08,Nombre d'abonnés raccordés au central téléphonique fixe de l'ONATEL, Office National des Télécommunications (ONATEL).,Muyinga,363,352,377,252,310,101,158,165,162,165,162
10.08,Nombre d'abonnés raccordés au central téléphonique fixe de l'ONATEL, Office National des Télécommunications (ONATEL).,Bururi,161,164,205,141,110,144,102,100,92,85,92
10.08,Nombre d'abonnés raccordés au central téléphonique fixe de l'ONATEL, Office National des Télécommunications (ONATEL).,Gihofi,60,155,204,167,128,244,118,113,107,101,107
10.08,Nombre d'abonnés raccordés au central téléphonique fixe de l'ONATEL, Office National des Télécommunications (ONATEL).,Makamba,166,163,208,174,114,105,103,102,73,76,73
10.08,Nombre d'abonnés raccordés au central téléphonique fixe de l'ONATEL, Office National des Télécommunications (ONATEL).,Nyanza-Lac,56,53,59,47,39,36,37,37,25,24,23
10.08,Nombre d'abonnés raccordés au central téléphonique fixe de l'ONATEL, Office National des Télécommunications (ONATEL).,Rumonge,138,136,185,118,92,76,76,73,66,71,66
10.08,Nombre d'abonnés raccordés au central téléphonique fixe de l'ONATEL, Office National des Télécommunications (ONATEL).,Rutana,74,78,121,110,82,114,81,83,81,82,81
10.08,Nombre d'abonnés raccordés au central téléphonique fixe de l'ONATEL, Office National des Télécommunications (ONATEL).,Kiremba,46,42,36,35,24,42,22,18,16,12,0
10.08,Nombre d'abonnés raccordés au central téléphonique fixe de l'ONATEL, Office National des Télécommunications (ONATEL).,Bubanza,153,157,187,149,120,101,120,119,76,77,81
10.08,Nombre d'abonnés raccordés au central téléphonique fixe de l'ONATEL, Office National des Télécommunications (ONATEL).,Cibitoke,142,151,149,146,89,75,113,120,81,82,85
10.08,Nombre d'abonnés raccordés au central téléphonique fixe de l'ONATEL, Office National des Télécommunications (ONATEL).,Gisozi/Mwaro,54,59,58,59,46,53,44,44,0,0,0
10.08,Nombre d'abonnés raccordés au central téléphonique fixe de l'ONATEL, Office National des Télécommunications (ONATEL).,Muramvya,152,150,174,144,89,60,97,102,69,74,75
10.08,Nombre d'abonnés raccordés au central téléphonique fixe de l'ONATEL, Office National des Télécommunications (ONATEL).,Ngozi,"","","","",600,869,400,401,360,350,360
