id_tableau,titre_tableau,source,continent,region,pays,2013,2014,2015,2016,2017,2018
13.05,Importations du Burundi par continent (en millions de FBU),ISTEEBU,Europe,"","","235895,2","276328,8","219696,4","205108,9","217302,7","222777,8"
13.05,Importations du Burundi par continent (en millions de FBU),ISTEEBU,Europe,UE,"","212675,1","232029,1","201972,7","189612,5","206727,6","207096,1"
13.05,Importations du Burundi par continent (en millions de FBU),ISTEEBU,Europe,UE,France,"74697,2","79798,0","61437,7","45872,6","48885,1","47454,5"
13.05,Importations du Burundi par continent (en millions de FBU),ISTEEBU,Europe,UE,Belgique,"","","","47085,8","51584,9","47858,9"
13.05,Importations du Burundi par continent (en millions de FBU),ISTEEBU,Afrique,"","","414363,5","334234,3","248912,4","312979,4","370895,6","347965,6"
13.05,Importations du Burundi par continent (en millions de FBU),ISTEEBU,Afrique,COMESA,"","328593,7","190692,5",140755,"221211,3","232840,0","220067,6"
13.05,Importations du Burundi par continent (en millions de FBU),ISTEEBU,Afrique,EAC,"","6458,3","228408,4","178962,6","260101,9","261111,9","239527,4"
13.05,Importations du Burundi par continent (en millions de FBU),ISTEEBU,Afrique,CEEAC,"","30685,0","6428,5","4941,7","6768,1","13794,4","15992,4"
13.05,Importations du Burundi par continent (en millions de FBU),ISTEEBU,Afrique,CEPGL,"","232022,5","19745,0","14822,8","27037,5","14296,3","15091,4"
13.05,Importations du Burundi par continent (en millions de FBU),ISTEEBU,Afrique,SADC,"","209255,3","166345,6","126695,6","131653,6","178639,7","176341,9"
