id_tableau,titre_tableau,source,categorie,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
3.10,Evolution mensuelle des précipitations par station météorologique de Makamba (en mm),IGEBU,Janvier,129,"206,4","202,6","140,5",151,"274,6",184,"150,1","177,6","196,5","202,9","182,9","190,6"
3.10,Evolution mensuelle des précipitations par station météorologique de Makamba (en mm),IGEBU,Février,"121,5","225,2",-,"128,5","108,4","68,4","145,4","112,3","181,1","130,4","221,5","184,1","87,0"
3.10,Evolution mensuelle des précipitations par station météorologique de Makamba (en mm),IGEBU,Mars,"178,3","113,9",-,"162,2","296,7","244,2","166,1","191,2","192,3","244,4",139,"241,2","221,8"
3.10,Evolution mensuelle des précipitations par station météorologique de Makamba (en mm),IGEBU,Avril,267,"155,5",259,"177,1","112,9","135,5","204,9","203,9","113,9","187,9","140,7","166,1","336,2"
3.10,Evolution mensuelle des précipitations par station météorologique de Makamba (en mm),IGEBU,Mai,"257,8","136,4",-,"67,1","62,1","71,7","181,1","57,7","7,8","82,2","40,2","79,3","33,5"
3.10,Evolution mensuelle des précipitations par station météorologique de Makamba (en mm),IGEBU,Juin,"2,2","31,1",270,"8,5","10,2","4,3",27,0,"40,4",0,"0,1",0,-
3.10,Evolution mensuelle des précipitations par station météorologique de Makamba (en mm),IGEBU,Juillet,"0,1","7,3","0,2",0,0,0,0,0,0,0,0,"0,2","0,0"
3.10,Evolution mensuelle des précipitations par station météorologique de Makamba (en mm),IGEBU,Août,"33,6","28,5","10,5",0,0,0,"22,6","8,8","33,9",0,0,10,"0,7"
3.10,Evolution mensuelle des précipitations par station météorologique de Makamba (en mm),IGEBU,Septembre,"50,8","3,2","74,5",67,10,"78,1","71,2","39,7","74,7","20,5","53,5","28,6","15,5"
3.10,Evolution mensuelle des précipitations par station météorologique de Makamba (en mm),IGEBU,Octobre,"105,3","64,1","69,4","58,7","110,7","103,8","97,4","159,9","74,9","145,6","68,5","141,8","102,4"
3.10,Evolution mensuelle des précipitations par station météorologique de Makamba (en mm),IGEBU,Novembre,"305,4","145,8","159,4","207,4","180,3","247,2","127,5","150,1","52,5","191,4","171,1","157,9","137,6"
3.10,Evolution mensuelle des précipitations par station météorologique de Makamba (en mm),IGEBU,Décembre,"230,1","163,1","155,3","229,2","282,6",0,"180,9","25,1","164,4","240,2","151,3","225,7","165,0"
3.10,Evolution mensuelle des précipitations par station météorologique de Makamba (en mm),IGEBU,Moyenne annuelle,"140,1","106,7","133,4","103,8","110,4","102,3","117,3","91,6","92,8","112,9","90,1","118,2","117,3"
