id_tableau,titre_tableau,source,categorie,2014,2015,2016
19.08,Nombre de dossier clôturés par les magistrats,Ministère de la Justice,Parquet Général de la République,1517,907,924
19.08,Nombre de dossier clôturés par les magistrats,Ministère de la Justice,Parquet Général près la CA de BUJUMBURA,2660,4629,2722
19.08,Nombre de dossier clôturés par les magistrats,Ministère de la Justice,PQ PRES TGI Bujumbura Mairie,6163,2156,1179
19.08,Nombre de dossier clôturés par les magistrats,Ministère de la Justice,PQ PRES TGI Bujumbura Rural,1846,1139,936
19.08,Nombre de dossier clôturés par les magistrats,Ministère de la Justice,PQ PRES TGI Bubanza,3046,2171,2399
19.08,Nombre de dossier clôturés par les magistrats,Ministère de la Justice,PQ PRES TGI Cibitoke,1041,1007,896
19.08,Nombre de dossier clôturés par les magistrats,Ministère de la Justice,PQ PRES TGI Muha,-,-,306
19.08,Nombre de dossier clôturés par les magistrats,Ministère de la Justice,PQ PRES Mukaza,-,-,557
19.08,Nombre de dossier clôturés par les magistrats,Ministère de la Justice,PQ PRES Muramvya,918,696,724
19.08,Nombre de dossier clôturés par les magistrats,Ministère de la Justice,PQ PRES Mwaro,729,882,855
