id_tableau,titre_tableau,source,categorie,sous-categorie,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
9.07,Superficies emblavées et nombre de planteurs de coton,Compagnie de Gérance de Coton (COGERCO),Nombre total de planteurs,"",11686,12669,12252,9578,6296,8907,8505,10063,9497,10013,9545,9365
9.07,Superficies emblavées et nombre de planteurs de coton,Compagnie de Gérance de Coton (COGERCO),Nombre total de planteurs,Moso,1931,1505,2206,1070,395,803,813,1235,1198,1109,632,354
9.07,Superficies emblavées et nombre de planteurs de coton,Compagnie de Gérance de Coton (COGERCO),Nombre total de planteurs,Imbo Sud,3423,5183,4827,3696,2584,2940,2453,2843,2396,3028,3809,6545
9.07,Superficies emblavées et nombre de planteurs de coton,Compagnie de Gérance de Coton (COGERCO),Nombre total de planteurs,Imbo Nord,6332,5981,5219,4812,3317,5164,5239,5985,5903,5876,5104,5466
9.07,Superficies emblavées et nombre de planteurs de coton,Compagnie de Gérance de Coton (COGERCO),Superficie emblavée (Ha),"",4252,4518,4190,3296,2556,2322,2895,3007,3006,2956,2616,3032
9.07,Superficies emblavées et nombre de planteurs de coton,Compagnie de Gérance de Coton (COGERCO),Superficie emblavée (Ha),Moso,461,318,330,120,67,124,130,102,101,141,66,50
9.07,Superficies emblavées et nombre de planteurs de coton,Compagnie de Gérance de Coton (COGERCO),Superficie emblavée (Ha),Imbo Sud,1828,2254,2185,1612,1094,1039,1092,1042,977,1096,1126,1291
9.07,Superficies emblavées et nombre de planteurs de coton,Compagnie de Gérance de Coton (COGERCO),Superficie emblavée (Ha),Imbo Nord,1963,1946,1675,1564,1395,1159,1673,1863,1928,1719,1425,1691
