id_tableau,titre_tableau,source,categorie,sous-categorie,Libellés,2010,2011,2012,2013,2014,2015,2016,2017
17.09,Répartition de la FBCF par secteur (en milliards de Fbu),ISTEEBU,Secteur,Privé,Privé,201.7,228,299.3,313.3,399.2,414.7,524.9,651.5
17.09,Répartition de la FBCF par secteur (en milliards de Fbu),ISTEEBU,Secteur,Privé,dont ménage,107.1,134,138.9,151.3,188.1,-,309.7,388.8
17.09,Répartition de la FBCF par secteur (en milliards de Fbu),ISTEEBU,Secteur,Public,Public,196.6,207.1,199.4,199,205.7,129.1,125.3,125.4
17.09,Répartition de la FBCF par secteur (en milliards de Fbu),ISTEEBU,Secteur,Total,Total,398.3,435.1,498.7,512.3,604.9,543.8,650.2,776.9
