id_tableau,titre_tableau,source,pays,2013,2014,2015,2016,2017,2018
13.08,Evolution des importations à partir des pays de la CEPGL (en millions de FBU),ISTEEBU,RDC,6406,6276,4791,3361,1640,6990
13.08,Evolution des importations à partir des pays de la CEPGL (en millions de FBU),ISTEEBU,Rwanda,24279,13478,10032,17360,12656,8102
