id_tableau,titre_tableau,source,Bureau postal,2012,2013,2014,2015,2016,2017,2018,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Mutaho,-,-,-,2770,2764,2979,369,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Nyarusange,-,-,233,255,270,373,301,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Ryansoro,"",177,658,694,715,726,282,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Bugarama,455,479,-,1024,1032,1058,97,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Bukeye,745,709,87,117,150,199,651,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Gatabo,65,64,789,829,869,931,39,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Kiganda,-,330,294,312,326,334,649,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Mbuye,36,70,3711,3780,3885,4013,259,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Muramvya,2 881,2 916,490,539,573,594,2574,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Rutegama,239,269,-,-,"",28,420,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Shombo,"","",-,219,232,253,215,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Bisoro,373,416,4965,5029,5070,5087,675,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Gisozi,-,-,-,-,-,-,66,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Kayokwe,-,-,-,-,-,-,3201,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Ndava,335,392,756,798,875,972,771,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Nyabihanga,-,-,-,542,633,651,363,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Rusaka,234,-,-,923,977,1047,913,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Buhinyuza,-,-,75,107,132,153,58,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Butihinda,-,26,62,72,-,-,-,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Kobero,175,127,"",343,360,363,44,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Gashoho,107,118,182,206,223,233,65,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Gasorwe,-,-,203,234,380,602,410,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Giteranyi,154,133,134,135,128,251,77,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Mwakiro,-,-,-,63,65,68,18,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Muyinga,2 127,2 168,2413,2473,2584,2662,887,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Mparamirundi,102,119,145,164,176,195,76,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Gashikanwa,-,-,-,242,276,301,110,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Musasa,186,198,281,299,304,319,42,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Marangara,"",107,-,224,259,301,158,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Mwumba,185,188,267,277,291,320,112,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Ngozi,6 902,7 115,8085,8376,8557,8780,3612,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Nyamurenza,-,-,-,39,72,86,46,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Ruhororo,-,-,-,94,103,107,68,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Tangara,-,-,-,13,-,85,38,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Bugenyuzi,149,157,186,230,243,247,120,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Buhiga,114,127,149,166,170,176,69,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Gihogazi,-,-,1064,3913,4016,4049,3935,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Gitaramuka,-,-,-,217,236,241,162,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Karuzi,1 263,1 262,1361,1401,1437,1457,556,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Mutumba,59,59,-,15,21,24,24,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Nyabikere,-,-,-,166,172,173,83,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Shombo/Rusi,-,-,558,606,625,659,25,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Kayogoro,494,517,375,400,414,430,546,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Kibago,159,178,845,902,960,964,297,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Mabanda,588,571,3389,3460,3449,3512,483,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Makamba,3 224,3 203,731,792,830,851,1868,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Nyanza-Lac,631,723,424,455,475,494,255,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Vugizo,215,238,4811,4964,5079,5143,372,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Bururi,3 751,3 783,1771,1830,1899,1934,4203,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Rutovu,1 195,1 220,3528,3641,3765,3850,1202,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Matana,2 723,2 768,1856,1915,1983,2024,2419,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Mugamba,1 131,1 156,3100,3140,3150,3188,1463,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Rumonge,2 977,2 949,935,360,372,389,1716,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Burambi,82,132,886,928,957,957,241,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Kiremba sud,"",538,491,524,565,594,921,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Nyagasasa,"",125,616,649,687,697,379,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Vyanda,182,222,-,-,-,-,641,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Bukemba,-,-,-,-,-,-,330,"",""
