id_tableau,titre_tableau,source,categorie,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
9.06,Evolution de la production de graines de coton (en tonnes),Compagnie de Gérance de Coton (COGERCO),Graines Rafina,1314,1267,963,670,792,659,416,1096,23,848,818,915
9.06,Evolution de la production de graines de coton (en tonnes),Compagnie de Gérance de Coton (COGERCO),Graines Eleveurs,"","",55,"","",61,7,12,175,65,"",""
9.06,Evolution de la production de graines de coton (en tonnes),Compagnie de Gérance de Coton (COGERCO),Graines Semences,244,244,227,226,85,130,100,178,1258,161,194,200
9.06,Evolution de la production de graines de coton (en tonnes),Compagnie de Gérance de Coton (COGERCO),Total,1558,1511,1368,896,877,843,523,1286,1456,1074,1012,1115
