id_tableau,titre_tableau,source,catégorie,code HS4,2013,2014,2015,2016,2017,2018
13.13,Evolution des Exportations par produits en quantité (Tonnes),ISTEEBU,Poissons vivants,0301,9,7,8,3,"",""
13.13,Evolution des Exportations par produits en quantité (Tonnes),ISTEEBU,"Poissons seches, sales ou en saumure; poissons fumes, meme cuits avant 
ou pendant le fum",0305,155,83,"","","",""
13.13,Evolution des Exportations par produits en quantité (Tonnes),ISTEEBU,"Ivoire, ecaille de tortue, fanons (y compris les barbes) de baleine ou 
d'autres mammifer",0507,"","","","",37,""
13.13,Evolution des Exportations par produits en quantité (Tonnes),ISTEEBU,"Autres plantes vivantes (y compris leurs racines), boutures et greffons; 
blanc de champi",0602,"","","","",47,""
13.13,Evolution des Exportations par produits en quantité (Tonnes),ISTEEBU,"Tomates, a l'etat frais ou refrigere",0702,138,197,473,"","",""
13.13,Evolution des Exportations par produits en quantité (Tonnes),ISTEEBU,"Autres legumes, a l'etat frais ou refrigere",0709,119,133,100,"","",""
13.13,Evolution des Exportations par produits en quantité (Tonnes),ISTEEBU,"Legumes a cosse secs, ecosses, meme decortiques ou casses",0713,"","","","",149,""
13.13,Evolution des Exportations par produits en quantité (Tonnes),ISTEEBU,"Bananes, y compris les plantains, fraiches ou seches",0803,"","","",843,746,1769
13.13,Evolution des Exportations par produits en quantité (Tonnes),ISTEEBU,"Dattes, figues, ananas, avocats, goyaves, mangues et mangoustans, frais 
ou secs",0804,"","","",1312,4479,2700
13.13,Evolution des Exportations par produits en quantité (Tonnes),ISTEEBU,"Agrumes, frais ou secs",0805,"","",454,"",62,""
