id_tableau,titre_tableau,source,categorie,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
16.05,Evolution des crédits distribués à l'économie (en millions de FBU), BRB,Crédits à court terme,"211 498,8","273 985,4","390 864,4","423 907,0","432 913,2","451 093,8","470 162,1","605 766,6","603 383,7","713 590,8"
16.05,Evolution des crédits distribués à l'économie (en millions de FBU), BRB,Crédits à moyen terme,"110 708,0","142 867,4","156 091,0","183 667,0","209 026,1","213 106,0","180 128,0","195 807,8","198 136,9","253 680,4"
16.05,Evolution des crédits distribués à l'économie (en millions de FBU), BRB,Crédits à long terme,"9 194,8","13 712,3","24 627,6","37 408,0","52 981,3","104 548,1","116 542,0","121 013,8","148 156,3","174 651,4"
