id_tableau,titre_tableau,source,categorie,sous_categorie,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
16.01,Ressources du système bancaire (fin d'année : en millions de FBU), BRB,Monnaie,"","404 392,5","485 772,6","487 400,7","540 369,7","597 179,3","637 652,2","643 150,9","805 030,9","989 346,8","1 214 308,6"
16.01,Ressources du système bancaire (fin d'année : en millions de FBU), BRB,Monnaie,Circulation fiduciaire hors banques,"120 915,7","139 103,4","153 214,3","173 871,6","187 487,1","199 816,1","207 306,7","231 582,2","263 881,6","295 598,6"
16.01,Ressources du système bancaire (fin d'année : en millions de FBU), BRB,Monnaie,Dépôts à vue,"283 476,8","341 257,9","334 186,4","366 498,1","409 692,2","437 836,1","435 844,2","573 448,7","725 465,2","918 710,0"
16.01,Ressources du système bancaire (fin d'année : en millions de FBU), BRB,Quasi-monnaie,"","126 377,8","153 128,5","187 110,6","204 836,8","236 619,5","242 554,4","280 591,1","281 018,5","342 367,5","415 718,1"
16.01,Ressources du système bancaire (fin d'année : en millions de FBU), BRB,Autres ressources,"","231 912,2","201 565,80","278346,5","258 926,2","255 749,4","271 062,4","269 589,4","511 037,7","539 436,9","540 717,1"
