id_tableau,titre_tableau,source,pays,2013,2014,2015,2016,2017,2018
13.09,Importations à partir des pays de la CEEAC (en millions de FBU),ISTEEBU,Angola,"6406,0","5200,0","7,0","","",""
13.09,Importations à partir des pays de la CEEAC (en millions de FBU),ISTEEBU,RDC,"6,2","1187,3","4790,5","3361,4",1640,6990
13.09,Importations à partir des pays de la CEEAC (en millions de FBU),ISTEEBU,Centrafrique,"38,8","6,8","74,6","",12107,1
13.09,Importations à partir des pays de la CEEAC (en millions de FBU),ISTEEBU,Congo,"7,4","11,7","0,4","274,5","",""
13.09,Importations à partir des pays de la CEEAC (en millions de FBU),ISTEEBU,Cameroun,"","21,9","69,1","241,4",27,22
13.09,Importations à partir des pays de la CEEAC (en millions de FBU),ISTEEBU,Gabon,"","0,8","","3,0","",872
13.09,Importations à partir des pays de la CEEAC (en millions de FBU),ISTEEBU,Guinée-Equatoriale,"","","","",9,7
13.09,Importations à partir des pays de la CEEAC (en millions de FBU),ISTEEBU,Sao Tomé-et-Principé,"","","","","",""
13.09,Importations à partir des pays de la CEEAC (en millions de FBU),ISTEEBU,Tchad,"","","","",11,""
