6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Sous- contrats,Ministère de la Sécurité Publique et de la gestion des catastrophes,-,-,-,-,-,-,-,""
6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Sous- contrats,Ministère de Justice et Garde des Sceaux,623,626,616,612,605,603,596,""
6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Sous- contrats,"Ministère des Affaires Sociales, des Droits de la Personne Humaine, du Genre",60,63,59,64,62,65,64,""
6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Sous- contrats,"Ministère de l'Education, de l'Enseignement Technique et de la Formation Professionnelle",2107,1915,1863,1733,1686,1741,1658,""
6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Sous- contrats,Ministère de la Décentralisation et des Réformes Institutionnelles,11,8,5,6,6,5,5,""
6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Sous- contrats,"Ministère des Transports, des Travaux Publics et de l'Equipement",133,112,108,108,115,14,162,""
6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Sous- contrats,Ministère à la Présidence Chargé des Affaires de la Communauté Est Africaine,13,11,11,11,11,11,10,""
6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Sous- contrats,Ministère de la Défense Nationale et des Anciens Combattants,-,-,-,-,-,-,-,""
6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Sous- contrats,Ministère de la Santé publique et de la lutte contre le Sida,2213,2293,2263,2237,2223,2186,2113,""
6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Sous- contrats,Ministère de l'Enseignement Supérieur et de la Recherche Scientifique,"","","","","","",12,""
6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Sous- contrats,"Ministère de l'Environnement, de l'Agriculture et de l'Elevage",2811,2772,3037,3023,2994,3013,2976,""
6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Sous- contrats,Ministère de la Jeunesse et desTechnologies de l'Information,5,5,6,6,5,5,13,""
6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Sous- contrats,"Ministère du Commerce, de l'Industrie, des Postes et du Tourisme",28,28,26,25,25,25,21,""
6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Sous- contrats,"Ministère de l'Hydraulique, de l'Energie et des Mines",49,37,39,39,39,36,36,""
6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Sous- contrats,"Ministère de la Fonction Publique, du Travail et de l'Emploi",68,62,61,64,183,86,82,""
6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Sous- contrats,"Ministère de la Jeunesse, des Sports et de la Culture",115,106,109,104,105,98,95,""
6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Totaux,"",87350,92696,95993,97999,99316,100576,100474,""
6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Totaux,Secretariat du Gouvernement,26,22,20,22,20,20,26,""
6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Totaux,Ministère des Affaires Etrangères,177,185,203,204,186,180,182,""
6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Totaux,Ministère de l'intérieur et de la formation patriotique,599,585,613,540,617,622,247,""
6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Totaux,"Ministère des Finances, du Budget et de la Coopération au Développement",353,339,354,357,362,350,387,""
6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Totaux,Ministère à la Présidence Chargée de la Bonne Gouvernance,25,22,23,49,64,22,20,""
6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Totaux,Ministère de la Sécurité Publique et de la gestion des catastrophes,-,-,-,-,-,-,-,""
6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Totaux,Ministère de Justice et Garde des Sceaux,3367,3373,3331,3278,3373,3355,3344,""
6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Totaux,"Ministère des Affaires Sociales, des Droits de la Personne Humaine, du Genre",170,187,173,189,196,203,196,""
6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Totaux,"Ministère de l'Education, de l'Enseignement Technique et de la Formation Professionnelle",#VALEUR!,#VALEUR!,#VALEUR!,#VALEUR!,#VALEUR!,#VALEUR!,79905,""
6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Totaux,Ministère de la Décentralisation et des Réformes Institutionnelles,100,95,93,102,90,47,47,""
6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Totaux,"Ministère des Transports, des Travaux Publics et de l'Equipement",232,210,204,204,224,123,448,""
6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Totaux,Ministère à la Présidence Chargé des Affaires de la Communauté Est Africaine,72,68,68,71,73,73,73,""
6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Totaux,Ministère de la Défense Nationale et des Anciens Combattants,-,-,-,-,-,-,-,""
6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Totaux,Ministère de la Santé publique et de la lutte contre le Sida,8008,9328,9720,9998,9898,9914,10085,""
6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Totaux,Ministère de l'Enseignement Supérieur et de la Recherche Scientifique,67929,72248,74099,75911,77069,78568,95,""
6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Totaux,"Ministère de l'Environnement, de l'Agriculture et de l'Elevage",3376,3343,4436,4460,4450,4441,4428,""
6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Totaux,Ministère de la Jeunesse et desTechnologies de l'Information,30,28,34,26,26,26,64,""
6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Totaux,"Ministère du Commerce, de l'Industrie, des Postes et du Tourisme",152,148,149,146,149,148,145,""
6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Totaux,"Ministère de l'Hydraulique, de l'Energie et des Mines",153,141,148,149,152,143,142,""
6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Totaux,"Ministère de la Fonction Publique, du Travail et de l'Emploi",359,353,353,456,576,502,545,""
6.05,Répartition par ministère des effectifs de la Fonction Publique (au  31 décembre),Ministère de la Fonction Publique,Totaux,"Ministère de la Jeunesse, des Sports et de la Culture",245,231,218,223,234,227,203,""
